,J
2017-04-24,45.212039947509766
2017-04-25,45.584259033203125
2017-04-26,45.82413101196289
2017-04-27,46.08881759643555
2017-04-28,45.42709732055664
2017-05-01,45.09623718261719
2017-05-02,45.61734390258789
2017-05-03,45.14586639404297
2017-05-04,45.31129837036133
2017-05-05,45.212039947509766
2017-05-08,45.25339889526367
2017-05-09,46.25424957275391
2017-05-10,45.12932586669922
2017-05-11,45.12932586669922
2017-05-12,43.63218307495117
2017-05-15,43.69008255004883
2017-05-16,43.50811004638672
2017-05-17,42.77194595336914
2017-05-18,42.51552963256836
2017-05-19,43.84724044799805
2017-05-22,43.73971176147461
2017-05-23,43.98785781860352
2017-05-24,43.78934097290039
2017-05-25,43.49983978271485
2017-05-26,43.5577392578125
2017-05-30,43.53292465209961
2017-05-31,43.359222412109375
2017-06-01,44.012672424316406
2017-06-02,44.00439834594727
2017-06-05,43.26823806762695
2017-06-06,43.08626556396485
2017-06-07,43.01182174682617
2017-06-08,43.7645263671875
2017-06-09,45.4519157409668
2017-06-12,45.50154113769531
2017-06-13,45.49327087402344
2017-06-14,45.15414047241211
2017-06-15,44.50069046020508
2017-06-16,44.517234802246094
2017-06-19,44.83155059814453
2017-06-20,44.21118927001953
2017-06-21,43.4171257019043
2017-06-22,43.5577392578125
2017-06-23,43.68181228637695
2017-06-26,44.29390335083008
2017-06-27,44.27735900878906
2017-06-28,44.839820861816406
2017-06-29,44.30217361450195
2017-06-30,44.98870849609375
2017-07-03,45.61734390258789
2017-07-05,45.37746810913086
2017-07-06,44.80673599243164
2017-07-07,45.344383239746094
2017-07-10,45.31129837036133
2017-07-11,45.162410736083984
2017-07-12,45.22858428955078
2017-07-13,44.8646354675293
2017-07-14,44.972164154052734
2017-07-17,45.07969665527344
2017-07-18,43.342681884765625
2017-07-19,44.19464492797852
2017-07-20,43.45848083496094
2017-07-21,43.25996398925781
2017-07-24,43.152435302734375
2017-07-25,43.8306999206543
2017-07-26,43.67353820800781
2017-07-27,43.88859939575195
2017-07-28,43.33440780639648
2017-07-31,43.60736846923828
2017-08-01,44.04575729370117
2017-08-02,44.12847137451172
2017-08-03,43.566009521484375
2017-08-04,43.40885162353516
2017-08-07,43.26823806762695
2017-08-08,44.765380859375
2017-08-09,44.84809494018555
2017-08-10,43.57428359985352
2017-08-11,43.4915657043457
2017-08-14,43.61563873291016
2017-08-15,42.65614318847656
2017-08-16,42.22602844238281
2017-08-17,41.56430816650391
2017-08-18,41.23344802856445
2017-08-21,41.01011657714844
2017-08-22,42.07714080810547
2017-08-23,42.4576301574707
2017-08-24,42.4576301574707
2017-08-25,42.96219253540039
2017-08-28,43.20206451416016
2017-08-29,43.97958755493164
2017-08-30,44.45933151245117
2017-08-31,45.0714225769043
2017-09-01,45.60079956054688
2017-09-05,44.98043823242188
2017-09-06,45.0714225769043
2017-09-07,45.030067443847656
2017-09-08,45.18722534179688
2017-09-11,45.402286529541016
2017-09-12,46.26251983642578
2017-09-13,46.30387878417969
2017-09-14,46.14672088623047
2017-09-15,46.2790641784668
2017-09-18,46.94905471801758
2017-09-19,47.02349853515625
2017-09-20,47.74311828613281
2017-09-21,47.4867057800293
2017-09-22,47.594234466552734
2017-09-25,48.18978118896485
2017-09-26,48.22286605834961
2017-09-27,48.25595474243164
2017-09-28,48.11533737182617
2017-09-29,48.19805145263672
2017-10-02,48.62817001342773
2017-10-03,48.33866882324219
2017-10-04,48.47101211547852
2017-10-05,48.62817001342773
2017-10-06,48.7687873840332
2017-10-09,48.289039611816406
2017-10-10,48.27249526977539
2017-10-11,47.98299407958984
2017-10-12,48.40483856201172
2017-10-13,48.42965316772461
2017-10-16,48.80187225341797
2017-10-17,48.16496658325195
2017-10-18,48.11533737182617
2017-10-19,48.22286605834961
2017-10-20,48.65298461914063
2017-10-23,48.25595474243164
2017-10-24,48.46274185180664
2017-10-25,48.0408935546875
2017-10-26,48.57854080200195
2017-10-27,48.5620002746582
2017-10-30,48.35520935058594
2017-10-31,48.14842224121094
2017-11-01,48.21459579467773
2017-11-02,48.58681488037109
2017-11-03,49.04174423217773
2017-11-06,50.54716110229492
2017-11-07,50.39827346801758
2017-11-08,50.5554313659668
2017-11-09,49.860626220703125
2017-11-10,49.653839111328125
2017-11-13,49.48013687133789
2017-11-14,47.92509460449219
2017-11-15,47.43707656860352
2017-11-16,48.33039855957031
2017-11-17,48.495826721191406
2017-11-20,49.08310317993164
2017-11-21,53.64897537231445
2017-11-22,53.582801818847656
2017-11-24,52.35034942626953
2017-11-27,52.37516021728516
2017-11-28,53.40082931518555
2017-11-29,53.62416076660156
2017-11-30,54.28588104248047
2017-12-01,54.145263671875
2017-12-04,55.16265869140625
2017-12-05,54.972415924072266
2017-12-06,55.98981094360352
2017-12-07,55.98981094360352
2017-12-08,56.66807174682617
2017-12-11,56.560543060302734
2017-12-12,56.56881332397461
2017-12-13,56.37857055664063
2017-12-14,54.69945526123047
