,DPZ
2022-02-16,433.3399963378906
2022-02-17,430.5299987792969
2022-02-18,435.6199951171875
2022-02-22,422.1099853515625
2022-02-23,402.0899963378906
2022-02-24,417.4100036621094
2022-02-25,429.9800109863281
2022-02-28,432.2099914550781
2022-03-01,432.2099914550781
2022-03-02,423.25
2022-03-03,402.6700134277344
2022-03-04,413.7099914550781
2022-03-07,400.0700073242188
2022-03-08,393.1499938964844
2022-03-09,397.1900024414063
2022-03-10,393.1400146484375
2022-03-11,386.3699951171875
2022-03-14,386.1799926757813
2022-03-15,389.9100036621094
2022-03-16,405.4700012207031
2022-03-17,409.4599914550781
2022-03-18,415.6600036621094
2022-03-21,400.0499877929688
2022-03-22,396.8299865722656
2022-03-23,393.9400024414063
2022-03-24,393.2000122070313
2022-03-25,394.739990234375
2022-03-28,399.0700073242188
2022-03-29,412.010009765625
2022-03-30,406.2699890136719
2022-03-31,407.010009765625
2022-04-01,397.1799926757813
2022-04-04,403.7900085449219
2022-04-05,391.1700134277344
2022-04-06,391.1000061035156
2022-04-07,397.3999938964844
2022-04-08,394.7900085449219
2022-04-11,387.9200134277344
2022-04-12,388.5700073242188
2022-04-13,392.1600036621094
2022-04-14,387.239990234375
2022-04-18,379.489990234375
2022-04-19,394.0799865722656
2022-04-20,396.489990234375
2022-04-21,391.0
2022-04-22,378.8299865722656
2022-04-25,378.1600036621094
2022-04-26,369.7300109863281
2022-04-27,372.9100036621094
2022-04-28,353.8800048828125
2022-04-29,338.0
2022-05-02,351.1199951171875
2022-05-03,343.8399963378906
2022-05-04,353.20001220703125
2022-05-05,341.69000244140625
2022-05-06,341.7900085449219
2022-05-09,333.6000061035156
2022-05-10,335.7200012207031
2022-05-11,325.1300048828125
2022-05-12,327.8500061035156
2022-05-13,340.94000244140625
2022-05-16,336.45001220703125
2022-05-17,336.4599914550781
2022-05-18,328.0199890136719
2022-05-19,336.42999267578125
2022-05-20,341.69000244140625
2022-05-23,343.010009765625
2022-05-24,342.1700134277344
2022-05-25,352.57000732421875
2022-05-26,355.6099853515625
2022-05-27,365.9100036621094
2022-05-31,363.1700134277344
2022-06-01,360.8500061035156
2022-06-02,372.8699951171875
2022-06-03,368.1199951171875
2022-06-06,377.2699890136719
2022-06-07,385.2799987792969
2022-06-08,384.0
2022-06-09,385.4400024414063
2022-06-10,380.5
2022-06-13,380.6300048828125
2022-06-14,377.1300048828125
2022-06-15,385.4200134277344
2022-06-16,379.5499877929688
2022-06-17,379.1700134277344
2022-06-21,386.3599853515625
2022-06-22,389.760009765625
2022-06-23,398.1300048828125
2022-06-24,396.5400085449219
2022-06-27,397.5799865722656
2022-06-28,390.7099914550781
2022-06-29,389.0400085449219
2022-06-30,389.7099914550781
2022-07-01,403.6099853515625
2022-07-05,396.7999877929688
2022-07-06,397.5700073242188
2022-07-07,405.5400085449219
2022-07-08,401.3500061035156
2022-07-11,397.25
2022-07-12,391.489990234375
2022-07-13,401.3699951171875
2022-07-14,399.1499938964844
2022-07-15,406.6000061035156
2022-07-18,406.80999755859375
2022-07-19,410.239990234375
2022-07-20,410.8599853515625
2022-07-21,405.6400146484375
2022-07-22,399.2699890136719
2022-07-25,387.989990234375
2022-07-26,386.75
2022-07-27,392.989990234375
2022-07-28,389.8200073242188
2022-07-29,392.1099853515625
2022-08-01,390.1199951171875
2022-08-02,391.0700073242188
2022-08-03,390.9100036621094
2022-08-04,391.3399963378906
2022-08-05,387.9299926757813
2022-08-08,394.8900146484375
2022-08-09,392.55999755859375
