,TPL
2020-06-17,69.45777893066406
2020-06-18,68.32221984863281
2020-06-19,69.33777618408203
2020-06-22,68.23444366455078
2020-06-23,66.6611099243164
2020-06-24,63.55555725097656
2020-06-25,64.91889190673828
2020-06-26,63.57222366333008
2020-06-29,63.33444213867188
2020-06-30,66.07666778564453
2020-07-01,64.26667022705078
2020-07-02,64.1544418334961
2020-07-06,63.33222198486328
2020-07-07,61.08444213867188
2020-07-08,62.33444213867188
2020-07-09,60.28777694702149
2020-07-10,60.77777862548828
2020-07-13,59.668888092041016
2020-07-14,65.0199966430664
2020-07-15,66.30332946777344
2020-07-16,64.71444702148438
2020-07-17,65.07888793945312
2020-07-20,63.88999938964844
2020-07-21,64.66666412353516
2020-07-22,63.75777816772461
2020-07-23,63.20000076293945
2020-07-24,62.22444534301758
2020-07-27,61.66666793823242
2020-07-28,60.9988899230957
2020-07-29,62.44444274902344
2020-07-30,61.61888885498047
2020-07-31,59.22111129760742
2020-08-03,59.9988899230957
2020-08-04,62.71110916137695
2020-08-05,66.88888549804688
2020-08-06,64.0999984741211
2020-08-07,64.88888549804688
2020-08-10,66.55555725097656
2020-08-11,65.35555267333984
2020-08-12,65.5566635131836
2020-08-13,65.4433364868164
2020-08-14,66.66666412353516
2020-08-17,66.304443359375
2020-08-18,65.2611083984375
2020-08-19,63.567779541015625
2020-08-20,62.163333892822266
2020-08-21,61.38999938964844
2020-08-24,60.34222030639648
2020-08-25,60.57110977172852
2020-08-26,60.30888748168945
2020-08-27,59.7488899230957
2020-08-28,59.065555572509766
2020-08-31,58.524444580078125
2020-09-01,59.635555267333984
2020-09-02,59.75555419921875
2020-09-03,58.59111022949219
2020-09-04,56.74333190917969
2020-09-08,54.8922233581543
2020-09-09,56.52555465698242
2020-09-10,53.44444274902344
2020-09-11,53.12555694580078
2020-09-14,53.44333267211914
2020-09-15,51.511112213134766
2020-09-16,50.95111083984375
2020-09-17,51.04666519165039
2020-09-18,50.88777923583984
2020-09-21,51.06222152709961
2020-09-22,51.22222137451172
2020-09-23,49.07777786254883
2020-09-24,50.77999877929688
2020-09-25,50.11111068725586
2020-09-28,51.27555465698242
2020-09-29,50.22888946533203
2020-09-30,50.17333221435547
2020-10-01,50.022220611572266
2020-10-02,49.78889083862305
2020-10-05,50.567779541015625
2020-10-06,51.135555267333984
2020-10-07,52.5533332824707
2020-10-08,53.85889053344727
2020-10-09,51.84444427490234
2020-10-12,52.44333267211914
2020-10-13,51.07222366333008
2020-10-14,51.66777801513672
2020-10-15,53.49111175537109
2020-10-16,52.15777969360352
2020-10-19,52.44444274902344
2020-10-20,52.220001220703125
2020-10-21,51.45000076293945
2020-10-22,53.24111175537109
2020-10-23,53.10889053344727
2020-10-26,52.5533332824707
2020-10-27,51.46666717529297
2020-10-28,49.94333267211914
2020-10-29,51.62444305419922
2020-10-30,50.045555114746094
2020-11-02,51.71555709838867
2020-11-03,53.776668548583984
2020-11-04,52.723331451416016
2020-11-05,56.31444549560547
2020-11-06,55.28666687011719
2020-11-09,63.88666534423828
2020-11-10,61.77999877929688
2020-11-11,60.02777862548828
2020-11-12,59.69111251831055
2020-11-13,61.09444427490234
2020-11-16,64.4433364868164
2020-11-17,64.98555755615234
2020-11-18,64.37777709960938
2020-11-19,63.88777923583984
2020-11-20,64.13999938964844
2020-11-23,67.12110900878906
2020-11-24,70.16666412353516
2020-11-25,68.5522232055664
2020-11-27,65.44444274902344
2020-11-30,67.76889038085938
2020-12-01,68.22333526611328
2020-12-02,68.9111099243164
2020-12-03,71.16889190673828
2020-12-04,74.44000244140625
2020-12-07,74.37666320800781
2020-12-08,74.66666412353516
2020-12-09,75.87555694580078
2020-12-10,77.0022201538086
2020-12-11,76.88888549804688
2020-12-14,76.0
2020-12-15,77.77777862548828
2020-12-16,79.9888916015625
2020-12-17,80.39221954345703
2020-12-18,82.2911148071289
2020-12-21,80.5
2020-12-22,77.77777862548828
2020-12-23,77.66666412353516
2020-12-24,76.88888549804688
2020-12-28,77.11111450195312
2020-12-29,76.22888946533203
2020-12-30,80.38777923583984
2020-12-31,80.77777862548828
2021-01-04,84.06222534179688
2021-01-05,88.33333587646484
2021-01-06,88.11333465576172
2021-01-07,86.5199966430664
2021-01-08,89.0
2021-01-11,96.61111450195312
2021-01-12,97.8766632080078
2021-01-13,92.68888854980467
2021-01-14,94.88555908203124
2021-01-15,93.4433364868164
2021-01-19,94.31666564941406
2021-01-20,93.81555938720705
2021-01-21,90.10111236572266
2021-01-22,91.36666870117188
2021-01-25,91.554443359375
2021-01-26,92.54777526855467
2021-01-27,89.56666564941406
2021-01-28,92.77777862548828
2021-01-29,92.47110748291016
2021-02-01,92.66666412353516
2021-02-02,95.32666778564452
2021-02-03,100.62222290039062
2021-02-04,106.83222198486328
2021-02-05,110.33222198486328
2021-02-08,113.33333587646484
2021-02-09,112.4088897705078
2021-02-10,118.43777465820312
2021-02-11,119.44222259521484
2021-02-12,124.41999816894533
2021-02-16,129.35888671875
2021-02-17,126.98110961914062
2021-02-18,123.31444549560548
2021-02-19,123.22222137451172
2021-02-22,122.22333526611328
2021-02-23,123.7866668701172
2021-02-24,127.05777740478516
2021-02-25,123.5411148071289
2021-02-26,122.67111206054688
2021-03-01,123.086669921875
2021-03-02,122.03555297851562
2021-03-03,128.57777404785156
2021-03-04,130.5577850341797
2021-03-05,133.3333282470703
2021-03-08,139.77777099609375
2021-03-09,142.47000122070312
2021-03-10,151.04110717773438
2021-03-11,157.21665954589844
2021-03-12,159.6666717529297
2021-03-15,173.1022186279297
2021-03-16,172.63555908203125
2021-03-17,189.3088836669922
2021-03-18,171.25999450683594
2021-03-19,186.1611175537109
2021-03-22,175.94667053222656
2021-03-23,158.4788818359375
2021-03-24,165.1555633544922
2021-03-25,170.22332763671875
2021-03-26,175.3333282470703
2021-03-29,164.03778076171875
2021-03-30,171.55555725097656
2021-03-31,176.60333251953125
2021-04-01,177.77777099609375
2021-04-05,176.44332885742188
2021-04-06,177.27667236328125
2021-04-07,179.1744384765625
2021-04-08,178.92111206054688
2021-04-09,177.57666015625
2021-04-12,177.5977783203125
2021-04-13,171.18222045898438
2021-04-14,179.22222900390625
2021-04-15,174.9088897705078
2021-04-16,175.55555725097656
2021-04-19,171.77777099609375
2021-04-20,163.07333374023438
2021-04-21,161.85000610351562
2021-04-22,163.0
2021-04-23,163.631103515625
2021-04-26,175.1133270263672
2021-04-27,178.2788848876953
2021-04-28,184.2544403076172
2021-04-29,175.00111389160156
2021-04-30,171.12777709960938
2021-05-03,178.74777221679688
2021-05-04,181.99444580078125
2021-05-05,189.09555053710932
2021-05-06,178.65333557128906
2021-05-07,194.80555725097656
2021-05-10,194.50778198242188
2021-05-11,191.99777221679688
2021-05-12,187.6477813720703
2021-05-13,184.1377716064453
2021-05-14,187.574447631836
2021-05-17,183.3333282470703
2021-05-18,174.64443969726562
2021-05-19,168.30111694335938
2021-05-20,172.22222900390625
2021-05-21,171.11111450195312
2021-05-24,167.38221740722656
2021-05-25,165.12445068359375
2021-05-26,163.1666717529297
2021-05-27,162.85556030273438
2021-05-28,161.45777893066406
2021-06-01,166.55999755859375
2021-06-02,165.62445068359375
2021-06-03,163.3333282470703
2021-06-04,165.14889526367188
2021-06-07,167.44444274902344
2021-06-08,170.31443786621094
2021-06-09,169.11111450195312
2021-06-10,165.77667236328125
2021-06-11,170.0
2021-06-14,166.44444274902344
2021-06-15,171.05555725097656
2021-06-16,173.77777099609375
2021-06-17,167.76333618164062
2021-06-18,168.54666137695312
2021-06-21,177.0500030517578
2021-06-22,176.6666717529297
2021-06-23,178.65333557128906
2021-06-24,175.52444458007812
2021-06-25,175.12110900878906
2021-06-28,172.54888916015625
2021-06-29,173.4055633544922
2021-06-30,177.74888610839844
2021-07-01,179.53778076171875
2021-07-02,177.0
2021-07-06,172.1233367919922
2021-07-07,164.3699951171875
2021-07-08,162.22999572753906
2021-07-09,167.7644500732422
2021-07-12,171.7433319091797
2021-07-13,169.78334045410156
2021-07-14,164.18333435058594
2021-07-15,161.47666931152344
2021-07-16,157.3000030517578
2021-07-19,155.37110900878906
2021-07-20,165.72999572753906
2021-07-21,169.33778381347656
2021-07-22,167.631103515625
2021-07-23,166.66555786132812
2021-07-26,166.24444580078125
2021-07-27,160.33555603027344
2021-07-28,164.78555297851562
2021-07-29,162.554443359375
2021-07-30,165.83888244628906
2021-08-02,164.31666564941406
2021-08-03,165.0
2021-08-04,160.6811065673828
2021-08-05,163.25778198242188
2021-08-06,164.42333984375
2021-08-09,165.13333129882812
2021-08-10,167.2211151123047
2021-08-11,165.70889282226562
2021-08-12,167.61666870117188
2021-08-13,164.82110595703125
2021-08-16,161.0177764892578
2021-08-17,158.3477783203125
2021-08-18,152.1666717529297
2021-08-19,147.13888549804688
2021-08-20,148.07110595703125
2021-08-23,151.55555725097656
2021-08-24,154.71444702148438
2021-08-25,157.43556213378906
2021-08-26,153.44667053222656
2021-08-27,157.22222900390625
2021-08-30,157.2677764892578
2021-08-31,151.0822296142578
2021-09-01,150.5388946533203
2021-09-02,147.5399932861328
2021-09-03,143.98666381835938
2021-09-07,135.4199981689453
2021-09-08,136.1199951171875
2021-09-09,136.30667114257812
2021-09-10,135.6677703857422
2021-09-13,138.05221557617188
2021-09-14,135.00999450683594
2021-09-15,139.17999267578125
2021-09-16,138.0655517578125
2021-09-17,144.4888916015625
2021-09-20,138.11778259277344
2021-09-21,138.98666381835938
2021-09-22,140.80999755859375
2021-09-23,145.22666931152344
2021-09-24,144.6133270263672
2021-09-27,151.88888549804688
2021-09-28,148.4888916015625
2021-09-29,137.8444366455078
2021-09-30,134.3733367919922
2021-10-01,130.33444213867188
2021-10-04,127.97666931152344
2021-10-05,131.6666717529297
2021-10-06,129.1477813720703
2021-10-07,131.7644500732422
2021-10-08,134.82666015625
2021-10-11,133.1122283935547
2021-10-12,131.08999633789062
2021-10-13,132.75999450683594
2021-10-14,134.9788818359375
2021-10-15,135.81777954101562
2021-10-18,136.11111450195312
2021-10-19,139.1522216796875
2021-10-20,141.2133331298828
2021-10-21,137.89222717285156
2021-10-22,140.66444396972656
2021-10-25,143.75222778320312
2021-10-26,144.61000061035156
2021-10-27,138.10000610351562
2021-10-28,140.28778076171875
2021-10-29,141.51889038085938
2021-11-01,145.92222595214844
2021-11-02,143.0155487060547
2021-11-03,141.55555725097656
2021-11-04,137.75889587402344
2021-11-05,151.9522247314453
2021-11-08,153.93556213378906
2021-11-09,157.9522247314453
2021-11-10,148.87777709960938
2021-11-11,148.88999938964844
2021-11-12,144.0588836669922
2021-11-15,143.90333557128906
2021-11-16,144.03778076171875
2021-11-17,139.77999877929688
2021-11-18,142.27000427246094
2021-11-19,138.4344482421875
2021-11-22,139.3111114501953
2021-11-23,144.21556091308594
2021-11-24,145.2755584716797
2021-11-26,138.11000061035156
2021-11-29,140.33444213867188
2021-11-30,134.3077850341797
2021-12-01,131.16555786132812
2021-12-02,135.49667358398438
2021-12-03,133.96221923828125
2021-12-06,140.40110778808594
2021-12-07,147.18666076660156
2021-12-08,143.12889099121094
2021-12-09,140.70443725585938
2021-12-10,140.8844451904297
2021-12-13,138.3866729736328
2021-12-14,136.7866668701172
2021-12-15,137.37110900878906
2021-12-16,137.1666717529297
2021-12-17,134.08111572265625
2021-12-20,134.43777465820312
2021-12-21,140.1522216796875
2021-12-22,136.64443969726562
2021-12-23,137.72999572753906
2021-12-27,142.6199951171875
2021-12-28,140.35667419433594
2021-12-29,139.0833282470703
2021-12-30,138.4422149658203
2021-12-31,138.76333618164062
2022-01-03,141.57110595703125
2022-01-04,143.663330078125
2022-01-05,139.67666625976562
2022-01-06,139.7677764892578
2022-01-07,140.0111083984375
2022-01-10,134.78555297851562
2022-01-11,135.73333740234375
2022-01-12,135.99667358398438
2022-01-13,125.31999969482422
2022-01-14,123.52999877929688
2022-01-18,118.5999984741211
2022-01-19,117.71778106689452
2022-01-20,112.3066635131836
2022-01-21,111.48332977294922
2022-01-24,115.47444152832033
2022-01-25,116.0500030517578
2022-01-26,113.76889038085938
2022-01-27,111.97222137451172
2022-01-28,114.9822235107422
2022-01-31,119.44444274902344
2022-02-01,124.695556640625
2022-02-02,123.8222198486328
2022-02-03,121.1455535888672
2022-02-04,121.42555236816406
2022-02-07,119.59333038330078
2022-02-08,118.163330078125
2022-02-09,118.54666900634766
2022-02-10,119.57666778564452
2022-02-11,122.8277816772461
2022-02-14,117.77889251708984
2022-02-15,114.90555572509766
2022-02-16,113.37555694580078
2022-02-17,111.64221954345705
2022-02-18,111.74222564697266
2022-02-22,111.02666473388672
2022-02-23,112.45555877685548
2022-02-24,122.03333282470705
2022-02-25,118.43333435058594
2022-02-28,132.08111572265625
2022-03-01,133.96556091308594
2022-03-02,138.0833282470703
2022-03-03,136.36111450195312
2022-03-04,144.35000610351562
2022-03-07,142.9744415283203
2022-03-08,142.82444763183594
2022-03-09,142.88555908203125
2022-03-10,143.69000244140625
2022-03-11,146.2355499267578
2022-03-14,142.67666625976562
2022-03-15,138.13221740722656
2022-03-16,141.6300048828125
2022-03-17,150.61111450195312
2022-03-18,149.82777404785156
2022-03-21,155.0822296142578
2022-03-22,154.39443969726562
2022-03-23,157.7788848876953
2022-03-24,156.87889099121094
2022-03-25,161.61111450195312
2022-03-28,155.76666259765625
2022-03-29,158.99667358398438
2022-03-30,161.14999389648438
2022-03-31,150.2344512939453
2022-04-01,157.92889404296875
2022-04-04,164.36666870117188
2022-04-05,157.5255584716797
2022-04-06,157.0833282470703
2022-04-07,158.97332763671875
2022-04-08,158.477783203125
2022-04-11,154.5366668701172
2022-04-12,156.28555297851562
2022-04-13,162.0611114501953
2022-04-14,162.47222900390625
2022-04-18,165.42333984375
2022-04-19,164.27777099609375
2022-04-20,167.3655548095703
2022-04-21,159.195556640625
2022-04-22,153.1477813720703
2022-04-25,152.3955535888672
2022-04-26,148.24000549316406
2022-04-27,148.07000732421875
2022-04-28,152.8866729736328
2022-04-29,151.8444366455078
2022-05-02,150.83555603027344
2022-05-03,153.34889221191406
2022-05-04,158.32333374023438
2022-05-05,156.01666259765625
2022-05-06,158.20443725585938
2022-05-09,144.11000061035156
2022-05-10,146.21221923828125
2022-05-11,141.74110412597656
2022-05-12,143.96556091308594
2022-05-13,150.21444702148438
2022-05-16,152.14666748046875
2022-05-17,155.4344482421875
2022-05-18,150.4711151123047
2022-05-19,150.72000122070312
2022-05-20,152.477783203125
2022-05-23,156.27999877929688
