,LHX
2019-03-04,163.3300018310547
2019-03-05,162.4199981689453
2019-03-06,160.6199951171875
2019-03-07,161.22999572753906
2019-03-08,161.77999877929688
2019-03-11,163.22999572753906
2019-03-12,161.33999633789062
2019-03-13,161.77000427246094
2019-03-14,160.44000244140625
2019-03-15,160.67999267578125
2019-03-18,163.3000030517578
2019-03-19,162.9600067138672
2019-03-20,160.99000549316406
2019-03-21,162.1699981689453
2019-03-22,159.27999877929688
2019-03-25,159.74000549316406
2019-03-26,159.72999572753906
2019-03-27,158.91000366210938
2019-03-28,159.92999267578125
2019-03-29,159.7100067138672
2019-04-01,163.3000030517578
2019-04-02,161.89999389648438
2019-04-03,160.0
2019-04-04,162.30999755859375
2019-04-05,164.5
2019-04-08,164.00999450683594
2019-04-09,163.17999267578125
2019-04-10,162.69000244140625
2019-04-11,165.22000122070312
2019-04-12,167.83999633789062
2019-04-15,165.7100067138672
2019-04-16,166.1199951171875
2019-04-17,166.16000366210938
2019-04-18,165.64999389648438
2019-04-22,164.86000061035156
2019-04-23,167.52000427246094
2019-04-24,166.41000366210938
2019-04-25,164.75
2019-04-26,166.4499969482422
2019-04-29,165.1699981689453
2019-04-30,168.5
2019-05-01,179.6699981689453
2019-05-02,177.77999877929688
2019-05-03,177.88999938964844
2019-05-06,178.5
2019-05-07,176.69000244140625
2019-05-08,179.3800048828125
2019-05-09,181.17999267578125
2019-05-10,181.6999969482422
2019-05-13,181.47000122070312
2019-05-14,182.1199951171875
2019-05-15,183.52999877929688
2019-05-16,184.3800048828125
2019-05-17,183.6499938964844
2019-05-20,183.0200042724609
2019-05-21,187.7700042724609
2019-05-22,188.33999633789065
2019-05-23,188.5399932861328
2019-05-24,187.0800018310547
2019-05-28,186.47999572753903
2019-05-29,186.0800018310547
2019-05-30,186.72999572753903
2019-05-31,187.19000244140625
2019-06-03,189.8600006103516
2019-06-04,192.1000061035156
2019-06-05,197.6999969482422
2019-06-06,197.69000244140625
2019-06-07,198.2100067138672
2019-06-10,196.5800018310547
2019-06-11,188.1699981689453
2019-06-12,188.72999572753903
2019-06-13,189.8300018310547
2019-06-14,190.6000061035156
2019-06-17,192.07000732421875
2019-06-18,196.3699951171875
2019-06-19,198.3800048828125
2019-06-20,199.3999938964844
2019-06-21,197.22000122070312
2019-06-24,197.2899932861328
2019-06-25,195.6699981689453
2019-06-26,191.22000122070312
2019-06-27,189.4600067138672
2019-06-28,189.1300048828125
2019-07-01,178.14999389648438
2019-07-02,185.7700042724609
2019-07-03,184.3000030517578
2019-07-05,184.9600067138672
2019-07-08,184.67999267578125
2019-07-09,191.259994506836
2019-07-10,192.6100006103516
2019-07-11,194.4499969482422
2019-07-12,195.72000122070312
2019-07-15,191.5500030517578
2019-07-16,192.57000732421875
2019-07-17,193.97000122070312
2019-07-18,194.13999938964844
2019-07-19,193.47999572753903
2019-07-22,194.91000366210932
2019-07-23,194.5399932861328
2019-07-24,197.9499969482422
2019-07-25,200.6699981689453
2019-07-26,199.8300018310547
2019-07-29,201.38999938964844
2019-07-30,200.0
2019-07-31,207.6000061035156
2019-08-01,204.8500061035156
2019-08-02,204.4199981689453
2019-08-05,201.38999938964844
2019-08-06,205.1199951171875
2019-08-07,207.4600067138672
2019-08-08,214.4499969482422
2019-08-09,211.6100006103516
2019-08-12,209.32000732421875
2019-08-13,209.8300018310547
2019-08-14,207.72000122070312
2019-08-15,209.6000061035156
2019-08-16,210.8699951171875
2019-08-19,213.0500030517578
2019-08-20,212.58999633789065
2019-08-21,214.17999267578125
2019-08-22,213.3099975585937
2019-08-23,208.88999938964844
2019-08-26,211.6199951171875
2019-08-27,210.47999572753903
2019-08-28,212.1199951171875
2019-08-29,213.3000030517578
2019-08-30,211.41000366210932
2019-09-03,210.52999877929688
2019-09-04,213.6499938964844
2019-09-05,212.1300048828125
2019-09-06,214.6999969482422
2019-09-09,208.82000732421875
2019-09-10,208.6199951171875
2019-09-11,207.82000732421875
2019-09-12,209.42999267578125
2019-09-13,207.4499969482422
2019-09-16,214.0
2019-09-17,214.259994506836
2019-09-18,214.6999969482422
2019-09-19,214.0599975585937
2019-09-20,211.97999572753903
2019-09-23,213.3000030517578
2019-09-24,211.91000366210932
2019-09-25,212.6000061035156
2019-09-26,213.22000122070312
2019-09-27,208.9199981689453
2019-09-30,208.63999938964844
2019-10-01,203.69000244140625
2019-10-02,203.2700042724609
2019-10-03,206.2100067138672
2019-10-04,207.7700042724609
2019-10-07,205.7700042724609
2019-10-08,209.25
2019-10-09,208.94000244140625
2019-10-10,209.92999267578125
2019-10-11,208.94000244140625
2019-10-14,206.63999938964844
2019-10-15,205.5200042724609
2019-10-16,206.77999877929688
2019-10-17,200.94000244140625
2019-10-18,198.0800018310547
2019-10-21,199.66000366210932
2019-10-22,200.6699981689453
2019-10-23,200.3800048828125
2019-10-24,204.1000061035156
2019-10-25,200.9600067138672
2019-10-28,200.58999633789065
2019-10-29,202.9900054931641
2019-10-30,207.82000732421875
2019-10-31,206.3099975585937
2019-11-01,201.41000366210932
2019-11-04,194.92999267578125
2019-11-05,193.0399932861328
2019-11-06,195.9499969482422
2019-11-07,194.8800048828125
2019-11-08,196.0200042724609
2019-11-11,195.16000366210932
2019-11-12,198.19000244140625
2019-11-13,199.22999572753903
2019-11-14,199.759994506836
2019-11-15,202.5200042724609
2019-11-18,202.7400054931641
2019-11-19,203.1499938964844
2019-11-20,204.8099975585937
2019-11-21,199.0599975585937
2019-11-22,198.63999938964844
2019-11-25,196.4900054931641
2019-11-26,199.7100067138672
2019-11-27,200.5
2019-11-29,201.08999633789065
2019-12-02,194.2700042724609
2019-12-03,194.94000244140625
2019-12-04,193.67999267578125
2019-12-05,193.38999938964844
2019-12-06,192.4900054931641
2019-12-09,193.6199951171875
2019-12-10,196.9600067138672
2019-12-11,198.47999572753903
2019-12-12,196.27999877929688
2019-12-13,200.17999267578125
2019-12-16,201.33999633789065
2019-12-17,199.0800018310547
2019-12-18,197.72000122070312
2019-12-19,197.41000366210932
2019-12-20,199.9900054931641
2019-12-23,201.72999572753903
2019-12-24,201.22000122070312
2019-12-26,201.6100006103516
2019-12-27,201.7100067138672
2019-12-30,200.0800018310547
2019-12-31,197.8699951171875
2020-01-02,203.3099975585937
2020-01-03,210.47000122070312
2020-01-06,211.72000122070312
2020-01-07,212.72999572753903
2020-01-08,211.2899932861328
2020-01-09,212.2899932861328
2020-01-10,210.3699951171875
2020-01-13,212.6000061035156
2020-01-14,212.77999877929688
2020-01-15,213.16000366210932
2020-01-16,214.3500061035156
2020-01-17,219.3800048828125
2020-01-21,220.4600067138672
2020-01-22,219.91000366210932
2020-01-23,222.8099975585937
2020-01-24,222.97999572753903
2020-01-27,222.32000732421875
2020-01-28,223.13999938964844
2020-01-29,223.57000732421875
2020-01-30,224.7400054931641
2020-01-31,221.3300018310547
2020-02-03,220.88999938964844
2020-02-04,223.7400054931641
2020-02-05,223.47000122070312
2020-02-06,225.97999572753903
2020-02-07,229.8600006103516
2020-02-10,229.6000061035156
2020-02-11,228.0
2020-02-12,230.0399932861328
2020-02-13,227.009994506836
2020-02-14,228.5500030517578
2020-02-18,228.72999572753903
2020-02-19,225.97999572753903
2020-02-20,223.8000030517578
2020-02-21,222.8000030517578
2020-02-24,219.0599975585937
2020-02-25,209.759994506836
2020-02-26,210.32000732421875
2020-02-27,201.94000244140625
2020-02-28,197.72999572753903
2020-03-02,202.0500030517578
2020-03-03,198.67999267578125
2020-03-04,211.63999938964844
2020-03-05,200.57000732421875
2020-03-06,199.92999267578125
2020-03-09,186.5800018310547
2020-03-10,196.1199951171875
2020-03-11,188.3600006103516
2020-03-12,166.02000427246094
2020-03-13,177.6300048828125
2020-03-16,152.22999572753906
2020-03-17,168.9499969482422
2020-03-18,167.99000549316406
2020-03-19,160.13999938964844
2020-03-20,154.0399932861328
2020-03-23,150.22000122070312
2020-03-24,162.07000732421875
2020-03-25,173.4600067138672
2020-03-26,190.5
2020-03-27,185.0
2020-03-30,181.9600067138672
2020-03-31,180.1199951171875
2020-04-01,177.1699981689453
2020-04-02,183.5200042724609
2020-04-03,178.5
2020-04-06,184.0
2020-04-07,179.89999389648438
2020-04-08,185.1999969482422
2020-04-09,190.7899932861328
2020-04-13,188.32000732421875
2020-04-14,197.0
2020-04-15,195.0
2020-04-16,198.22000122070312
2020-04-17,203.5
2020-04-20,194.83999633789065
2020-04-21,187.77999877929688
2020-04-22,191.759994506836
2020-04-23,189.42999267578125
2020-04-24,189.8500061035156
2020-04-27,192.6999969482422
2020-04-28,195.7899932861328
2020-04-29,195.3000030517578
2020-04-30,193.6999969482422
2020-05-01,189.4600067138672
2020-05-04,186.82000732421875
2020-05-05,189.0
2020-05-06,182.509994506836
2020-05-07,182.4900054931641
2020-05-08,180.9499969482422
2020-05-11,179.39999389648438
2020-05-12,180.6100006103516
2020-05-13,177.5399932861328
2020-05-14,177.83999633789062
2020-05-15,176.77999877929688
2020-05-18,180.9199981689453
2020-05-19,179.88999938964844
2020-05-20,179.17999267578125
2020-05-21,184.1199951171875
2020-05-22,180.4499969482422
2020-05-26,184.7700042724609
2020-05-27,192.9499969482422
2020-05-28,196.72999572753903
2020-05-29,199.4499969482422
2020-06-01,196.1199951171875
2020-06-02,194.57000732421875
2020-06-03,200.6100006103516
2020-06-04,199.47999572753903
2020-06-05,204.8699951171875
2020-06-08,209.66000366210932
2020-06-09,208.27999877929688
2020-06-10,206.6999969482422
2020-06-11,196.509994506836
2020-06-12,193.1499938964844
2020-06-15,188.1000061035156
2020-06-16,191.009994506836
2020-06-17,191.42999267578125
2020-06-18,188.25
2020-06-19,182.2400054931641
2020-06-22,184.1999969482422
2020-06-23,177.25
2020-06-24,168.24000549316406
2020-06-25,170.7899932861328
2020-06-26,169.61000061035156
2020-06-29,174.8000030517578
2020-06-30,169.6699981689453
2020-07-01,170.49000549316406
2020-07-02,172.0
2020-07-06,174.0
2020-07-07,167.67999267578125
2020-07-08,164.64999389648438
2020-07-09,159.8000030517578
2020-07-10,162.50999450683594
2020-07-13,162.42999267578125
2020-07-14,162.36000061035156
2020-07-15,166.8300018310547
2020-07-16,167.02999877929688
2020-07-17,169.9600067138672
2020-07-20,167.10000610351562
2020-07-21,168.88999938964844
2020-07-22,173.33999633789062
2020-07-23,172.6699981689453
2020-07-24,171.24000549316406
2020-07-27,167.5500030517578
2020-07-28,171.39999389648438
2020-07-29,173.0
2020-07-30,173.22999572753906
2020-07-31,168.3300018310547
2020-08-03,167.8800048828125
2020-08-04,167.2899932861328
2020-08-05,172.13999938964844
2020-08-06,173.6699981689453
2020-08-07,175.63999938964844
2020-08-10,179.17999267578125
2020-08-11,180.63999938964844
2020-08-12,183.07000732421875
2020-08-13,180.97000122070312
2020-08-14,182.5800018310547
2020-08-17,181.5500030517578
2020-08-18,180.97999572753903
2020-08-19,181.17999267578125
2020-08-20,178.9600067138672
2020-08-21,178.58999633789062
2020-08-24,182.52999877929688
2020-08-25,181.0200042724609
2020-08-26,179.3000030517578
2020-08-27,181.1699981689453
2020-08-28,179.88999938964844
2020-08-31,180.7400054931641
2020-09-01,177.72000122070312
2020-09-02,182.94000244140625
2020-09-03,182.1100006103516
2020-09-04,181.72999572753903
2020-09-08,179.61000061035156
2020-09-09,180.83999633789065
2020-09-10,176.39999389648438
2020-09-11,181.02999877929688
2020-09-14,181.6300048828125
2020-09-15,178.77999877929688
2020-09-16,182.17999267578125
2020-09-17,185.44000244140625
2020-09-18,185.2100067138672
2020-09-21,177.5800018310547
2020-09-22,180.75
2020-09-23,178.1300048828125
2020-09-24,175.74000549316406
2020-09-25,178.02000427246094
2020-09-28,178.6300048828125
2020-09-29,175.75
2020-09-30,169.83999633789062
2020-10-01,172.69000244140625
2020-10-02,173.07000732421875
2020-10-05,174.39999389648438
2020-10-06,173.9600067138672
2020-10-07,175.39999389648438
2020-10-08,178.13999938964844
2020-10-09,175.4499969482422
2020-10-12,175.0399932861328
2020-10-13,174.41000366210938
2020-10-14,176.35000610351562
2020-10-15,173.47000122070312
2020-10-16,174.3699951171875
2020-10-19,171.42999267578125
2020-10-20,171.2100067138672
2020-10-21,169.80999755859375
2020-10-22,169.60000610351562
2020-10-23,171.8000030517578
2020-10-26,169.8300018310547
2020-10-27,166.25999450683594
2020-10-28,161.32000732421875
2020-10-29,162.9499969482422
2020-10-30,161.11000061035156
2020-11-02,170.39999389648438
2020-11-03,178.80999755859375
2020-11-04,183.3000030517578
2020-11-05,181.0399932861328
2020-11-06,178.94000244140625
2020-11-09,185.8500061035156
2020-11-10,189.52999877929688
2020-11-11,187.7100067138672
2020-11-12,189.3000030517578
2020-11-13,194.3000030517578
2020-11-16,200.0
2020-11-17,198.42999267578125
2020-11-18,196.3500061035156
2020-11-19,195.759994506836
2020-11-20,191.5
2020-11-23,194.1000061035156
2020-11-24,195.8300018310547
2020-11-25,194.97999572753903
2020-11-27,194.47000122070312
2020-11-30,191.9900054931641
