,CPT
2023-01-13,117.9499969482422
2023-01-17,117.73999786376952
2023-01-18,115.26000213623048
2023-01-19,114.54000091552734
2023-01-20,114.68000030517578
2023-01-23,114.87000274658205
2023-01-24,118.02999877929688
2023-01-25,119.2699966430664
2023-01-26,119.8499984741211
2023-01-27,121.6500015258789
2023-01-30,119.77999877929688
2023-01-31,123.20999908447266
2023-02-01,123.75
2023-02-02,126.30999755859376
2023-02-03,121.73999786376952
2023-02-06,122.44000244140624
2023-02-07,123.66000366210938
2023-02-08,123.94000244140624
2023-02-09,122.08999633789062
2023-02-10,122.81999969482422
2023-02-13,123.19000244140624
2023-02-14,122.25
2023-02-15,121.47000122070312
2023-02-16,120.0500030517578
