,NDSN
2021-01-08,203.2700042724609
2021-01-11,204.22999572753903
2021-01-12,207.33999633789065
2021-01-13,203.6100006103516
2021-01-14,202.02999877929688
2021-01-15,193.25
2021-01-19,189.5
2021-01-20,193.8699951171875
2021-01-21,192.1000061035156
2021-01-22,191.9900054931641
2021-01-25,188.1199951171875
2021-01-26,187.4900054931641
2021-01-27,183.58999633789065
2021-01-28,184.33999633789065
2021-01-29,178.99000549316406
2021-02-01,182.5800018310547
2021-02-02,183.58999633789065
2021-02-03,183.7400054931641
2021-02-04,186.0200042724609
2021-02-05,188.07000732421875
2021-02-08,190.0
2021-02-09,188.33999633789065
2021-02-10,189.92999267578125
2021-02-11,189.13999938964844
2021-02-12,188.2700042724609
2021-02-16,186.2400054931641
2021-02-17,183.759994506836
2021-02-18,185.6699981689453
2021-02-19,187.8800048828125
2021-02-22,184.3800048828125
2021-02-23,187.82000732421875
2021-02-24,196.7400054931641
2021-02-25,193.1999969482422
2021-02-26,192.41000366210932
2021-03-01,193.77999877929688
2021-03-02,192.9600067138672
2021-03-03,194.6000061035156
2021-03-04,191.47000122070312
2021-03-05,196.0
2021-03-08,196.52999877929688
2021-03-09,197.1999969482422
2021-03-10,201.72000122070312
2021-03-11,200.8699951171875
2021-03-12,201.7100067138672
2021-03-15,207.2400054931641
2021-03-16,206.1499938964844
2021-03-17,205.72999572753903
2021-03-18,205.2400054931641
2021-03-19,202.16000366210932
2021-03-22,201.7100067138672
2021-03-23,198.1300048828125
2021-03-24,199.7100067138672
2021-03-25,201.32000732421875
2021-03-26,203.58999633789065
2021-03-29,202.9600067138672
2021-03-30,204.02999877929688
2021-03-31,198.67999267578125
2021-04-01,202.3800048828125
2021-04-05,202.5200042724609
2021-04-06,202.9900054931641
2021-04-07,201.6699981689453
2021-04-08,201.02999877929688
2021-04-09,203.1199951171875
2021-04-12,203.5800018310547
2021-04-13,201.91000366210932
2021-04-14,203.47000122070312
2021-04-15,204.58999633789065
2021-04-16,206.22000122070312
2021-04-19,205.92999267578125
2021-04-20,206.1999969482422
2021-04-21,209.5200042724609
2021-04-22,210.7899932861328
2021-04-23,213.92999267578125
2021-04-26,213.6300048828125
2021-04-27,214.1000061035156
2021-04-28,213.6100006103516
2021-04-29,214.8999938964844
2021-04-30,211.41000366210932
2021-05-03,208.6100006103516
2021-05-04,211.3000030517578
2021-05-05,208.5
2021-05-06,208.5800018310547
2021-05-07,208.8300018310547
2021-05-10,208.67999267578125
2021-05-11,207.4199981689453
2021-05-12,200.02999877929688
2021-05-13,205.42999267578125
2021-05-14,205.8699951171875
2021-05-17,203.9900054931641
2021-05-18,200.69000244140625
2021-05-19,198.97999572753903
2021-05-20,199.4499969482422
2021-05-21,201.8300018310547
2021-05-24,202.47000122070312
2021-05-25,216.8300018310547
2021-05-26,215.8000030517578
2021-05-27,223.42999267578125
2021-05-28,221.69000244140625
2021-06-01,221.6699981689453
2021-06-02,221.52999877929688
2021-06-03,220.509994506836
2021-06-04,224.16000366210932
2021-06-07,222.5599975585937
2021-06-08,222.32000732421875
2021-06-09,222.1000061035156
2021-06-10,223.1699981689453
2021-06-11,222.3999938964844
2021-06-14,221.2899932861328
2021-06-15,223.0200042724609
2021-06-16,219.42999267578125
