,TT
2021-01-20,155.24000549316406
2021-01-21,154.44000244140625
2021-01-22,152.6699981689453
2021-01-25,150.9199981689453
2021-01-26,147.88999938964844
2021-01-27,138.8300018310547
2021-01-28,142.8000030517578
2021-01-29,143.35000610351562
2021-02-01,142.75
2021-02-02,144.99000549316406
2021-02-03,146.3800048828125
2021-02-04,148.83999633789062
2021-02-05,149.35000610351562
2021-02-08,148.97999572753906
2021-02-09,145.7100067138672
2021-02-10,148.3300018310547
2021-02-11,150.8699951171875
2021-02-12,150.92999267578125
2021-02-16,151.27999877929688
2021-02-17,151.3000030517578
2021-02-18,149.5
2021-02-19,153.9600067138672
2021-02-22,152.88999938964844
2021-02-23,153.1999969482422
2021-02-24,155.35000610351562
2021-02-25,152.47999572753906
2021-02-26,153.24000549316406
2021-03-01,158.47000122070312
2021-03-02,158.16000366210938
2021-03-03,157.5
2021-03-04,153.39999389648438
2021-03-05,160.4199981689453
2021-03-08,163.72999572753906
2021-03-09,160.47999572753906
2021-03-10,163.42999267578125
2021-03-11,162.94000244140625
2021-03-12,163.67999267578125
2021-03-15,167.99000549316406
2021-03-16,167.1699981689453
2021-03-17,165.9600067138672
2021-03-18,167.5399932861328
2021-03-19,164.10000610351562
2021-03-22,164.3000030517578
2021-03-23,160.3300018310547
2021-03-24,161.2100067138672
2021-03-25,163.92999267578125
2021-03-26,168.08999633789062
2021-03-29,166.5800018310547
2021-03-30,166.9499969482422
2021-03-31,165.55999755859375
2021-04-01,165.44000244140625
2021-04-05,167.4499969482422
2021-04-06,167.63999938964844
2021-04-07,166.5
2021-04-08,166.5800018310547
2021-04-09,169.5500030517578
2021-04-12,170.61000061035156
2021-04-13,170.7899932861328
2021-04-14,169.36000061035156
2021-04-15,170.50999450683594
2021-04-16,171.9600067138672
2021-04-19,172.27999877929688
2021-04-20,168.1999969482422
2021-04-21,170.5
2021-04-22,171.9499969482422
2021-04-23,175.3300018310547
2021-04-26,172.8300018310547
2021-04-27,173.8000030517578
2021-04-28,174.36000061035156
2021-04-29,175.58999633789062
2021-04-30,173.8300018310547
2021-05-03,174.75
2021-05-04,174.72000122070312
2021-05-05,178.72000122070312
2021-05-06,181.9199981689453
2021-05-07,183.67999267578125
2021-05-10,186.66000366210932
2021-05-11,182.75
2021-05-12,178.6199951171875
2021-05-13,182.1100006103516
2021-05-14,184.1999969482422
2021-05-17,183.5399932861328
2021-05-18,179.24000549316406
2021-05-19,178.3699951171875
2021-05-20,180.4499969482422
2021-05-21,182.08999633789065
2021-05-24,182.1000061035156
2021-05-25,182.6000061035156
2021-05-26,183.5500030517578
2021-05-27,185.8000030517578
2021-05-28,186.3999938964844
2021-06-01,187.5399932861328
2021-06-02,185.1100006103516
2021-06-03,183.3600006103516
2021-06-04,181.63999938964844
2021-06-07,182.07000732421875
2021-06-08,183.8999938964844
2021-06-09,182.2899932861328
2021-06-10,183.69000244140625
2021-06-11,185.22999572753903
2021-06-14,182.6100006103516
2021-06-15,184.259994506836
2021-06-16,182.3500061035156
2021-06-17,180.0
2021-06-18,173.41000366210938
2021-06-21,179.55999755859375
2021-06-22,180.1199951171875
2021-06-23,179.72999572753906
2021-06-24,179.83999633789062
2021-06-25,180.0
2021-06-28,182.7400054931641
2021-06-29,182.8300018310547
2021-06-30,184.13999938964844
2021-07-01,186.1999969482422
2021-07-02,187.3000030517578
2021-07-06,184.97999572753903
2021-07-07,189.6499938964844
2021-07-08,187.2400054931641
2021-07-09,190.32000732421875
2021-07-12,192.7700042724609
2021-07-13,191.19000244140625
2021-07-14,190.94000244140625
2021-07-15,192.19000244140625
2021-07-16,192.259994506836
2021-07-19,189.6499938964844
2021-07-20,196.47999572753903
2021-07-21,198.6699981689453
2021-07-22,198.6499938964844
2021-07-23,201.4499969482422
2021-07-26,199.75
2021-07-27,200.7700042724609
2021-07-28,198.22999572753903
2021-07-29,202.6100006103516
2021-07-30,203.6100006103516
2021-08-02,201.1699981689453
2021-08-03,206.5599975585937
2021-08-04,200.27999877929688
2021-08-05,195.42999267578125
2021-08-06,197.0
2021-08-09,193.8999938964844
2021-08-10,192.22000122070312
2021-08-11,193.3300018310547
2021-08-12,191.8099975585937
2021-08-13,191.17999267578125
2021-08-16,195.1999969482422
2021-08-17,193.6300048828125
2021-08-18,192.3000030517578
2021-08-19,193.9499969482422
2021-08-20,193.41000366210932
2021-08-23,194.47999572753903
2021-08-24,196.58999633789065
2021-08-25,199.4499969482422
2021-08-26,199.2400054931641
2021-08-27,198.77999877929688
2021-08-30,200.0399932861328
2021-08-31,198.5
2021-09-01,197.8800048828125
2021-09-02,201.0500030517578
2021-09-03,199.94000244140625
2021-09-07,193.41000366210932
