,APO
2021-02-04,50.95000076293945
2021-02-05,50.68999862670898
2021-02-08,50.93999862670898
2021-02-09,50.59999847412109
2021-02-10,51.86000061035156
2021-02-11,50.4900016784668
2021-02-12,51.459999084472656
2021-02-16,51.52000045776367
2021-02-17,51.95000076293945
2021-02-18,51.119998931884766
2021-02-19,51.83000183105469
2021-02-22,51.0
2021-02-23,50.470001220703125
2021-02-24,51.0099983215332
2021-02-25,48.880001068115234
2021-02-26,49.459999084472656
2021-03-01,50.380001068115234
2021-03-02,49.93000030517578
2021-03-03,50.40999984741211
2021-03-04,49.560001373291016
2021-03-05,49.560001373291016
2021-03-08,47.459999084472656
2021-03-09,45.77000045776367
2021-03-10,45.52999877929688
2021-03-11,47.83000183105469
2021-03-12,48.08000183105469
2021-03-15,48.79999923706055
2021-03-16,48.06999969482422
2021-03-17,48.18999862670898
2021-03-18,47.43999862670898
2021-03-19,47.290000915527344
2021-03-22,49.41999816894531
2021-03-23,49.119998931884766
2021-03-24,47.66999816894531
2021-03-25,46.970001220703125
2021-03-26,46.68999862670898
2021-03-29,46.4900016784668
2021-03-30,47.150001525878906
2021-03-31,47.0099983215332
2021-04-01,48.0099983215332
2021-04-05,47.68000030517578
2021-04-06,47.79999923706055
2021-04-07,47.04999923706055
2021-04-08,46.560001373291016
2021-04-09,47.02999877929688
2021-04-12,47.560001373291016
2021-04-13,47.369998931884766
2021-04-14,49.470001220703125
2021-04-15,50.2400016784668
2021-04-16,51.56999969482422
2021-04-19,51.4900016784668
2021-04-20,51.31999969482422
2021-04-21,52.29999923706055
2021-04-22,52.709999084472656
2021-04-23,53.18999862670898
2021-04-26,54.52999877929688
2021-04-27,55.16999816894531
2021-04-28,55.40999984741211
2021-04-29,55.52999877929688
2021-04-30,55.369998931884766
2021-05-03,55.06999969482422
2021-05-04,55.0
2021-05-05,56.63999938964844
2021-05-06,57.18999862670898
2021-05-07,58.220001220703125
2021-05-10,57.630001068115234
2021-05-11,57.790000915527344
2021-05-12,55.7599983215332
2021-05-13,56.20000076293945
2021-05-14,57.41999816894531
2021-05-17,57.380001068115234
2021-05-18,56.9900016784668
2021-05-19,56.9900016784668
2021-05-20,56.77000045776367
2021-05-21,57.43000030517578
2021-05-24,57.43999862670898
2021-05-25,56.619998931884766
2021-05-26,57.29999923706055
2021-05-27,57.869998931884766
2021-05-28,57.34000015258789
2021-06-01,56.630001068115234
2021-06-02,56.68999862670898
2021-06-03,57.52999877929688
2021-06-04,57.40999984741211
2021-06-07,57.7400016784668
2021-06-08,57.52000045776367
2021-06-09,57.20000076293945
2021-06-10,57.29999923706055
2021-06-11,57.790000915527344
2021-06-14,57.5099983215332
2021-06-15,58.0099983215332
2021-06-16,58.56999969482422
2021-06-17,58.43000030517578
2021-06-18,57.369998931884766
2021-06-21,58.470001220703125
2021-06-22,58.25
2021-06-23,58.290000915527344
2021-06-24,59.119998931884766
2021-06-25,61.58000183105469
2021-06-28,61.52999877929688
2021-06-29,62.40999984741211
2021-06-30,62.20000076293945
2021-07-01,63.0099983215332
2021-07-02,64.2300033569336
2021-07-06,63.709999084472656
2021-07-07,63.290000915527344
2021-07-08,60.5099983215332
2021-07-09,61.16999816894531
2021-07-12,61.31999969482422
2021-07-13,59.88999938964844
2021-07-14,60.0099983215332
2021-07-15,59.43999862670898
2021-07-16,56.7400016784668
2021-07-19,56.209999084472656
2021-07-20,57.43000030517578
2021-07-21,58.130001068115234
2021-07-22,58.5099983215332
2021-07-23,59.43999862670898
2021-07-26,59.33000183105469
2021-07-27,59.22999954223633
2021-07-28,58.83000183105469
2021-07-29,59.52000045776367
2021-07-30,58.86000061035156
2021-08-02,59.20000076293945
2021-08-03,60.65999984741211
2021-08-04,60.88999938964844
2021-08-05,61.13999938964844
2021-08-06,61.63999938964844
2021-08-09,61.290000915527344
2021-08-10,60.09999847412109
2021-08-11,59.33000183105469
2021-08-12,58.790000915527344
2021-08-13,59.369998931884766
2021-08-16,59.45000076293945
2021-08-17,58.31999969482422
2021-08-18,57.02999877929688
2021-08-19,55.970001220703125
2021-08-20,56.27000045776367
2021-08-23,57.40999984741211
2021-08-24,57.70000076293945
2021-08-25,58.150001525878906
2021-08-26,57.91999816894531
2021-08-27,58.650001525878906
2021-08-30,58.869998931884766
2021-08-31,59.77999877929688
2021-09-01,60.970001220703125
2021-09-02,61.20000076293945
2021-09-03,61.810001373291016
2021-09-07,61.900001525878906
2021-09-08,61.27999877929688
2021-09-09,61.13999938964844
2021-09-10,60.720001220703125
2021-09-13,62.0
2021-09-14,61.02000045776367
2021-09-15,63.02000045776367
2021-09-16,62.709999084472656
2021-09-17,62.79999923706055
2021-09-20,58.43000030517578
2021-09-21,59.130001068115234
2021-09-22,59.40999984741211
2021-09-23,61.2599983215332
2021-09-24,62.40999984741211
2021-09-27,62.9900016784668
2021-09-28,61.43999862670898
2021-09-29,62.34999847412109
2021-09-30,61.59000015258789
2021-10-01,61.869998931884766
2021-10-04,58.790000915527344
2021-10-05,61.54999923706055
2021-10-06,62.61000061035156
2021-10-07,63.59000015258789
2021-10-08,65.36000061035156
2021-10-11,65.41999816894531
2021-10-12,65.91000366210938
2021-10-13,66.04000091552734
2021-10-14,67.80000305175781
2021-10-15,67.41999816894531
2021-10-18,68.30000305175781
2021-10-19,73.18000030517578
2021-10-20,74.30000305175781
2021-10-21,77.29000091552734
2021-10-22,79.72000122070312
2021-10-25,79.95999908447266
2021-10-26,79.76000213623047
2021-10-27,77.47000122070312
2021-10-28,78.33000183105469
2021-10-29,76.94999694824219
2021-11-01,76.33000183105469
2021-11-02,76.41999816894531
2021-11-03,77.97000122070312
2021-11-04,77.29000091552734
2021-11-05,76.94000244140625
2021-11-08,77.04000091552734
2021-11-09,76.29000091552734
2021-11-10,74.0
2021-11-11,74.91999816894531
2021-11-12,74.98999786376953
2021-11-15,76.0999984741211
2021-11-16,75.79000091552734
2021-11-17,75.5
2021-11-18,75.4000015258789
2021-11-19,74.94999694824219
2021-11-22,75.8499984741211
2021-11-23,73.80999755859375
2021-11-24,73.94999694824219
2021-11-26,71.73999786376953
2021-11-29,73.3499984741211
2021-11-30,70.77999877929688
2021-12-01,70.6500015258789
2021-12-02,71.80000305175781
2021-12-03,70.11000061035156
2021-12-06,70.1500015258789
2021-12-07,70.98999786376953
2021-12-08,71.05000305175781
2021-12-09,70.48999786376953
2021-12-10,69.6500015258789
2021-12-13,69.61000061035156
2021-12-14,68.52999877929688
2021-12-15,70.16000366210938
2021-12-16,69.80000305175781
2021-12-17,70.33999633789062
2021-12-20,68.58000183105469
2021-12-21,71.9000015258789
2021-12-22,72.2699966430664
2021-12-23,74.2699966430664
2021-12-27,74.0199966430664
2021-12-28,73.47000122070312
2021-12-29,72.80000305175781
2021-12-30,73.04000091552734
2021-12-31,72.43000030517578
2022-01-03,71.52999877929688
2022-01-04,73.55999755859375
2022-01-05,69.5999984741211
2022-01-06,69.56999969482422
2022-01-07,68.95999908447266
2022-01-10,68.3499984741211
2022-01-11,70.58000183105469
2022-01-12,70.76000213623047
2022-01-13,69.55000305175781
2022-01-14,68.83000183105469
2022-01-18,67.6500015258789
2022-01-19,67.05000305175781
2022-01-20,67.0
2022-01-21,65.9000015258789
2022-01-24,65.3499984741211
2022-01-25,64.1500015258789
2022-01-26,63.54999923706055
2022-01-27,66.2300033569336
2022-01-28,68.16000366210938
2022-01-31,70.0
2022-02-01,70.6500015258789
2022-02-02,71.02999877929688
2022-02-03,68.9800033569336
2022-02-04,70.33000183105469
2022-02-07,70.87999725341797
2022-02-08,67.5999984741211
2022-02-09,69.87000274658203
2022-02-10,69.66999816894531
2022-02-11,65.66999816894531
2022-02-14,65.62999725341797
2022-02-15,67.58000183105469
2022-02-16,67.95999908447266
2022-02-17,65.2300033569336
2022-02-18,64.16999816894531
2022-02-22,63.20000076293945
2022-02-23,62.09999847412109
2022-02-24,62.15999984741211
2022-02-25,65.66999816894531
2022-02-28,65.26000213623047
2022-03-01,62.400001525878906
2022-03-02,64.93000030517578
2022-03-03,64.56999969482422
2022-03-04,63.47999954223633
2022-03-07,58.290000915527344
2022-03-08,60.02000045776367
2022-03-09,63.290000915527344
2022-03-10,62.06999969482422
2022-03-11,63.04999923706055
2022-03-14,59.40999984741211
2022-03-15,59.54999923706055
2022-03-16,62.27999877929688
2022-03-17,61.58000183105469
2022-03-18,62.58000183105469
2022-03-21,62.5
2022-03-22,64.68000030517578
2022-03-23,62.77999877929688
2022-03-24,63.88999938964844
2022-03-25,62.5
2022-03-28,63.209999084472656
2022-03-29,65.70999908447266
2022-03-30,63.040000915527344
2022-03-31,61.9900016784668
2022-04-01,62.33000183105469
2022-04-04,63.36000061035156
2022-04-05,61.130001068115234
2022-04-06,59.02999877929688
2022-04-07,57.66999816894531
2022-04-08,57.560001373291016
2022-04-11,56.869998931884766
2022-04-12,55.5099983215332
2022-04-13,57.75
2022-04-14,57.4900016784668
2022-04-18,56.7599983215332
2022-04-19,58.59000015258789
2022-04-20,59.15999984741211
2022-04-21,56.15999984741211
2022-04-22,53.93000030517578
2022-04-25,54.38999938964844
2022-04-26,51.150001525878906
2022-04-27,50.91999816894531
2022-04-28,52.310001373291016
2022-04-29,49.7599983215332
2022-05-02,51.91999816894531
2022-05-03,51.72999954223633
2022-05-04,53.65999984741211
2022-05-05,53.369998931884766
2022-05-06,52.900001525878906
2022-05-09,49.54999923706055
2022-05-10,50.43999862670898
2022-05-11,51.0099983215332
2022-05-12,51.56999969482422
2022-05-13,54.20000076293945
2022-05-16,53.5099983215332
2022-05-17,54.79999923706055
2022-05-18,54.34000015258789
2022-05-19,53.95000076293945
2022-05-20,54.47999954223633
2022-05-23,55.220001220703125
2022-05-24,53.58000183105469
2022-05-25,55.77999877929688
2022-05-26,58.11000061035156
2022-05-27,60.31999969482422
2022-05-31,57.63999938964844
2022-06-01,57.77000045776367
2022-06-02,58.52999877929688
2022-06-03,57.77999877929688
2022-06-06,59.16999816894531
2022-06-07,59.08000183105469
2022-06-08,57.31999969482422
2022-06-09,56.65999984741211
2022-06-10,54.45000076293945
2022-06-13,50.08000183105469
2022-06-14,49.36000061035156
2022-06-15,50.54999923706055
2022-06-16,46.77999877929688
2022-06-17,48.25
2022-06-21,49.84999847412109
2022-06-22,50.18999862670898
2022-06-23,49.93999862670898
2022-06-24,52.0
2022-06-27,52.380001068115234
2022-06-28,51.27000045776367
2022-06-29,49.68000030517578
2022-06-30,48.47999954223633
2022-07-01,49.2599983215332
2022-07-05,51.06999969482422
2022-07-06,50.2400016784668
2022-07-07,52.310001373291016
2022-07-08,51.560001373291016
2022-07-11,50.70000076293945
2022-07-12,50.709999084472656
2022-07-13,50.29999923706055
2022-07-14,48.66999816894531
2022-07-15,50.84999847412109
2022-07-18,51.29999923706055
2022-07-19,53.06999969482422
2022-07-20,54.18999862670898
2022-07-21,54.58000183105469
2022-07-22,53.93999862670898
2022-07-25,54.040000915527344
2022-07-26,53.54999923706055
2022-07-27,54.83000183105469
2022-07-28,56.5099983215332
2022-07-29,57.09999847412109
2022-08-01,57.119998931884766
2022-08-02,56.40999984741211
2022-08-03,57.22999954223633
2022-08-04,57.9900016784668
2022-08-05,57.52999877929688
2022-08-08,57.41999816894531
2022-08-09,57.900001525878906
2022-08-10,59.9900016784668
2022-08-11,60.88999938964844
2022-08-12,61.0
2022-08-15,61.47999954223633
2022-08-16,60.72999954223633
2022-08-17,59.2400016784668
2022-08-18,59.54999923706055
2022-08-19,58.130001068115234
2022-08-22,57.08000183105469
2022-08-23,58.09000015258789
2022-08-24,58.959999084472656
2022-08-25,60.310001373291016
2022-08-26,56.369998931884766
2022-08-29,55.66999816894531
2022-08-30,54.95000076293945
2022-08-31,55.58000183105469
2022-09-01,54.83000183105469
2022-09-02,55.0
2022-09-06,55.619998931884766
2022-09-07,56.7400016784668
2022-09-08,56.86000061035156
2022-09-09,58.11000061035156
2022-09-12,58.93999862670898
2022-09-13,56.65999984741211
2022-09-14,57.41999816894531
2022-09-15,57.150001525878906
2022-09-16,54.810001373291016
2022-09-19,55.45000076293945
2022-09-20,53.86000061035156
2022-09-21,52.65999984741211
2022-09-22,51.5099983215332
2022-09-23,49.59999847412109
2022-09-26,48.869998931884766
2022-09-27,48.84999847412109
