,GEN
2021-07-20,25.809999465942383
2021-07-21,25.59000015258789
2021-07-22,25.709999084472656
2021-07-23,25.780000686645508
2021-07-26,25.68000030517578
2021-07-27,25.479999542236328
2021-07-28,25.270000457763672
2021-07-29,24.6200008392334
2021-07-30,24.81999969482422
2021-08-02,24.600000381469727
2021-08-03,24.5
2021-08-04,24.21999931335449
2021-08-05,23.989999771118164
2021-08-06,23.989999771118164
2021-08-09,23.88999938964844
2021-08-10,24.149999618530277
2021-08-11,26.25
2021-08-12,26.09000015258789
2021-08-13,26.290000915527344
2021-08-16,25.8799991607666
2021-08-17,25.959999084472656
2021-08-18,25.709999084472656
2021-08-19,25.82999992370605
2021-08-20,25.75
2021-08-23,25.96999931335449
2021-08-24,26.450000762939453
2021-08-25,26.700000762939453
2021-08-26,26.709999084472656
2021-08-27,26.780000686645508
2021-08-30,26.790000915527344
2021-08-31,26.559999465942383
2021-09-01,26.75
2021-09-02,27.149999618530277
2021-09-03,27.280000686645508
2021-09-07,27.1200008392334
2021-09-08,27.420000076293945
2021-09-09,27.3799991607666
2021-09-10,27.26000022888184
2021-09-13,26.61000061035156
2021-09-14,26.18000030517578
2021-09-15,26.25
2021-09-16,25.920000076293945
2021-09-17,25.690000534057617
2021-09-20,25.229999542236328
2021-09-21,24.979999542236328
2021-09-22,24.940000534057617
2021-09-23,25.75
2021-09-24,25.81999969482422
2021-09-27,25.809999465942383
2021-09-28,25.63999938964844
2021-09-29,25.549999237060547
2021-09-30,25.299999237060547
2021-10-01,25.559999465942383
2021-10-04,25.040000915527344
2021-10-05,25.25
2021-10-06,25.25
2021-10-07,25.729999542236328
2021-10-08,25.670000076293945
2021-10-11,25.59000015258789
2021-10-12,25.3799991607666
2021-10-13,25.07999992370605
2021-10-14,25.290000915527344
2021-10-15,25.299999237060547
2021-10-18,25.71999931335449
2021-10-19,25.81999969482422
2021-10-20,26.1299991607666
2021-10-21,26.290000915527344
2021-10-22,26.670000076293945
2021-10-25,26.670000076293945
2021-10-26,26.350000381469727
2021-10-27,25.809999465942383
2021-10-28,25.979999542236328
2021-10-29,25.450000762939453
2021-11-01,25.350000381469727
2021-11-02,25.229999542236328
2021-11-03,25.3700008392334
2021-11-04,24.950000762939453
2021-11-05,24.770000457763672
2021-11-08,25.8799991607666
2021-11-09,25.11000061035156
2021-11-10,24.979999542236328
2021-11-11,25.030000686645508
2021-11-12,25.530000686645508
2021-11-15,25.149999618530277
2021-11-16,25.21999931335449
2021-11-17,24.950000762939453
2021-11-18,24.780000686645508
2021-11-19,25.0
2021-11-22,24.739999771118164
2021-11-23,24.75
2021-11-24,25.200000762939453
2021-11-26,24.989999771118164
2021-11-29,25.309999465942383
2021-11-30,24.850000381469727
2021-12-01,23.81999969482422
2021-12-02,24.09000015258789
2021-12-03,24.1299991607666
2021-12-06,24.34000015258789
2021-12-07,24.739999771118164
2021-12-08,24.40999984741211
2021-12-09,23.899999618530277
2021-12-10,24.31999969482422
2021-12-13,24.56999969482422
2021-12-14,24.270000457763672
2021-12-15,24.81999969482422
2021-12-16,25.520000457763672
2021-12-17,25.71999931335449
2021-12-20,25.780000686645508
2021-12-21,25.59000015258789
2021-12-22,25.600000381469727
2021-12-23,25.8700008392334
2021-12-27,26.1299991607666
2021-12-28,26.18000030517578
2021-12-29,26.290000915527344
2021-12-30,26.200000762939453
2021-12-31,25.979999542236328
2022-01-03,26.32999992370605
2022-01-04,26.549999237060547
2022-01-05,26.200000762939453
2022-01-06,27.059999465942383
2022-01-07,26.61000061035156
2022-01-10,26.850000381469727
2022-01-11,26.88999938964844
2022-01-12,26.57999992370605
2022-01-13,26.600000381469727
2022-01-14,26.8799991607666
2022-01-18,26.76000022888184
2022-01-19,26.36000061035156
2022-01-20,26.280000686645508
2022-01-21,26.059999465942383
2022-01-24,26.1299991607666
2022-01-25,25.5
2022-01-26,25.34000015258789
2022-01-27,25.309999465942383
2022-01-28,25.63999938964844
2022-01-31,26.01000022888184
2022-02-01,26.0
2022-02-02,26.06999969482422
2022-02-03,25.3799991607666
2022-02-04,27.59000015258789
2022-02-07,28.299999237060547
2022-02-08,30.06999969482422
2022-02-09,30.76000022888184
2022-02-10,30.36000061035156
2022-02-11,29.86000061035156
2022-02-14,29.479999542236328
2022-02-15,29.149999618530277
2022-02-16,28.84000015258789
2022-02-17,28.190000534057617
2022-02-18,27.96999931335449
2022-02-22,27.18000030517578
2022-02-23,26.540000915527344
2022-02-24,27.26000022888184
2022-02-25,28.450000762939453
2022-02-28,28.979999542236328
2022-03-01,28.86000061035156
2022-03-02,29.61000061035156
2022-03-03,29.76000022888184
2022-03-04,29.190000534057617
2022-03-07,28.350000381469727
2022-03-08,27.3799991607666
2022-03-09,27.729999542236328
2022-03-10,27.920000076293945
2022-03-11,27.6200008392334
2022-03-14,29.06999969482422
2022-03-15,30.11000061035156
2022-03-16,26.11000061035156
2022-03-17,25.93000030517578
2022-03-18,27.450000762939453
2022-03-21,27.200000762939453
2022-03-22,27.38999938964844
2022-03-23,27.440000534057617
2022-03-24,28.059999465942383
2022-03-25,28.290000915527344
2022-03-28,28.18000030517578
2022-03-29,27.07999992370605
2022-03-30,27.190000534057617
2022-03-31,26.520000457763672
2022-04-01,26.940000534057617
2022-04-04,26.96999931335449
2022-04-05,27.040000915527344
2022-04-06,26.770000457763672
2022-04-07,27.15999984741211
2022-04-08,26.790000915527344
2022-04-11,26.61000061035156
2022-04-12,26.43000030517578
2022-04-13,26.8700008392334
2022-04-14,26.63999938964844
2022-04-18,26.549999237060547
2022-04-19,26.8700008392334
2022-04-20,26.96999931335449
2022-04-21,26.25
2022-04-22,25.520000457763672
