,WTW
2017-11-03,159.58999633789062
2017-11-06,161.19000244140625
2017-11-07,161.60000610351562
2017-11-08,160.99000549316406
2017-11-09,161.5
2017-11-10,161.57000732421875
2017-11-13,161.49000549316406
2017-11-14,162.02999877929688
2017-11-15,162.64999389648438
2017-11-16,159.92999267578125
2017-11-17,160.07000732421875
2017-11-20,159.88999938964844
2017-11-21,159.8000030517578
2017-11-22,158.7899932861328
2017-11-24,159.52000427246094
2017-11-27,158.5
2017-11-28,159.39999389648438
2017-11-29,159.07000732421875
2017-11-30,160.8000030517578
2017-12-01,161.9499969482422
2017-12-04,158.47999572753906
2017-12-05,157.32000732421875
2017-12-06,157.10000610351562
2017-12-07,155.4199981689453
2017-12-08,155.4600067138672
2017-12-11,155.27999877929688
2017-12-12,155.1999969482422
2017-12-13,152.92999267578125
2017-12-14,153.47999572753906
2017-12-15,156.0
2017-12-18,154.55999755859375
2017-12-19,154.14999389648438
2017-12-20,153.1199951171875
2017-12-21,152.3699951171875
2017-12-22,151.74000549316406
2017-12-26,151.8699951171875
2017-12-27,151.63999938964844
2017-12-28,151.38999938964844
2017-12-29,150.69000244140625
2018-01-02,146.99000549316406
2018-01-03,149.74000549316406
2018-01-04,151.25999450683594
2018-01-05,152.22999572753906
2018-01-08,151.41000366210938
2018-01-09,151.8300018310547
2018-01-10,153.61000061035156
2018-01-11,154.75999450683594
2018-01-12,155.4600067138672
2018-01-16,152.5800018310547
2018-01-17,154.5500030517578
2018-01-18,153.55999755859375
2018-01-19,153.88999938964844
2018-01-22,154.60000610351562
2018-01-23,157.8699951171875
2018-01-24,159.02000427246094
2018-01-25,160.1699981689453
2018-01-26,163.94000244140625
2018-01-29,161.7100067138672
2018-01-30,160.33999633789062
2018-01-31,160.47000122070312
2018-02-01,163.9199981689453
2018-02-02,161.66000366210938
2018-02-05,157.5
2018-02-06,158.39999389648438
2018-02-07,157.3800048828125
2018-02-08,152.36000061035156
2018-02-09,152.13999938964844
2018-02-12,154.14999389648438
2018-02-13,155.30999755859375
2018-02-14,159.25
2018-02-15,159.6199951171875
2018-02-16,159.22999572753906
2018-02-20,159.64999389648438
2018-02-21,157.57000732421875
2018-02-22,156.52999877929688
2018-02-23,159.9600067138672
2018-02-26,161.2100067138672
2018-02-27,161.00999450683594
2018-02-28,157.89999389648438
2018-03-01,154.99000549316406
2018-03-02,154.9199981689453
2018-03-05,156.9199981689453
2018-03-06,157.42999267578125
2018-03-07,158.85000610351562
2018-03-08,159.57000732421875
2018-03-09,164.13999938964844
2018-03-12,162.9600067138672
2018-03-13,162.38999938964844
2018-03-14,161.52999877929688
2018-03-15,162.27999877929688
2018-03-16,162.8000030517578
2018-03-19,159.17999267578125
2018-03-20,159.5399932861328
2018-03-21,158.14999389648438
2018-03-22,154.66000366210938
2018-03-23,151.50999450683594
2018-03-26,154.13999938964844
2018-03-27,151.3800048828125
2018-03-28,151.2899932861328
2018-03-29,152.19000244140625
2018-04-02,148.99000549316406
2018-04-03,148.22000122070312
2018-04-04,148.9499969482422
2018-04-05,148.5
2018-04-06,146.14999389648438
2018-04-09,146.0
2018-04-10,147.02000427246094
2018-04-11,147.02999877929688
2018-04-12,147.88999938964844
2018-04-13,150.0800018310547
2018-04-16,152.1199951171875
2018-04-17,152.94000244140625
2018-04-18,152.66000366210938
2018-04-19,152.69000244140625
2018-04-20,151.41000366210938
2018-04-23,151.05999755859375
2018-04-24,149.6300048828125
2018-04-25,149.35000610351562
2018-04-26,149.9499969482422
2018-04-27,150.75
2018-04-30,148.50999450683594
2018-05-01,148.5500030517578
2018-05-02,146.58999633789062
2018-05-03,147.4600067138672
2018-05-04,148.91000366210938
2018-05-07,151.32000732421875
2018-05-08,153.33999633789062
2018-05-09,152.2100067138672
2018-05-10,155.6199951171875
2018-05-11,155.3699951171875
2018-05-14,154.4199981689453
2018-05-15,153.9499969482422
2018-05-16,153.24000549316406
2018-05-17,154.13999938964844
2018-05-18,154.30999755859375
2018-05-21,155.6199951171875
2018-05-22,155.8800048828125
2018-05-23,156.72999572753906
