,LVS
2018-01-31,77.5199966430664
2018-02-01,78.20999908447266
2018-02-02,75.18000030517578
2018-02-05,72.37999725341797
2018-02-06,74.11000061035156
2018-02-07,73.43000030517578
2018-02-08,70.98999786376953
2018-02-09,71.0
2018-02-12,71.54000091552734
2018-02-13,73.1500015258789
2018-02-14,74.44999694824219
2018-02-15,74.83999633789062
2018-02-16,75.0199966430664
2018-02-20,75.04000091552734
2018-02-21,75.05999755859375
2018-02-22,72.94999694824219
2018-02-23,74.33000183105469
2018-02-26,73.94999694824219
2018-02-27,73.04000091552734
2018-02-28,72.80999755859375
2018-03-01,70.8499984741211
2018-03-02,71.51000213623047
2018-03-05,71.56999969482422
2018-03-06,72.63999938964844
2018-03-07,73.04000091552734
2018-03-08,76.62000274658203
2018-03-09,76.47000122070312
2018-03-12,75.62999725341797
2018-03-13,73.86000061035156
2018-03-14,73.9000015258789
2018-03-15,74.7699966430664
2018-03-16,75.05000305175781
2018-03-19,75.05000305175781
2018-03-20,75.1500015258789
2018-03-21,73.31999969482422
2018-03-22,71.33999633789062
2018-03-23,69.31999969482422
2018-03-26,70.44999694824219
2018-03-27,71.66000366210938
2018-03-28,70.77999877929688
2018-03-29,71.9000015258789
2018-04-02,70.58000183105469
2018-04-03,70.94999694824219
2018-04-04,70.04000091552734
2018-04-05,71.11000061035156
2018-04-06,69.22000122070312
2018-04-09,69.87999725341797
2018-04-10,71.41000366210938
2018-04-11,70.8499984741211
2018-04-12,72.37000274658203
2018-04-13,71.81999969482422
2018-04-16,72.94999694824219
2018-04-17,73.5
2018-04-18,74.41999816894531
2018-04-19,73.83999633789062
2018-04-20,73.88999938964844
2018-04-23,74.44000244140625
2018-04-24,73.79000091552734
2018-04-25,72.33999633789062
2018-04-26,73.11000061035156
2018-04-27,72.33000183105469
2018-04-30,73.33000183105469
2018-05-01,74.86000061035156
2018-05-02,75.25
2018-05-03,75.36000061035156
2018-05-04,76.37999725341797
2018-05-07,76.87999725341797
2018-05-08,76.63999938964844
2018-05-09,77.88999938964844
2018-05-10,79.0
2018-05-11,78.13999938964844
2018-05-14,77.48999786376953
2018-05-15,77.87999725341797
2018-05-16,78.36000061035156
2018-05-17,78.05999755859375
2018-05-18,77.91000366210938
2018-05-21,79.26000213623047
2018-05-22,79.0
2018-05-23,79.30000305175781
2018-05-24,79.30999755859375
2018-05-25,79.3499984741211
2018-05-29,79.58000183105469
2018-05-30,80.26000213623047
2018-05-31,80.61000061035156
2018-06-01,80.47000122070312
2018-06-04,79.81999969482422
2018-06-05,78.69999694824219
2018-06-06,78.9000015258789
2018-06-07,77.68000030517578
2018-06-08,78.0
2018-06-11,79.12999725341797
2018-06-12,80.29000091552734
2018-06-13,80.31999969482422
2018-06-14,80.5999984741211
2018-06-15,80.37000274658203
2018-06-18,81.2699966430664
2018-06-19,79.33999633789062
2018-06-20,80.0199966430664
2018-06-21,79.4000015258789
2018-06-22,79.80000305175781
2018-06-25,75.86000061035156
2018-06-26,77.2300033569336
2018-06-27,75.93000030517578
2018-06-28,75.62000274658203
2018-06-29,76.36000061035156
2018-07-02,71.2699966430664
2018-07-03,70.94999694824219
2018-07-05,72.22000122070312
2018-07-06,72.37000274658203
2018-07-09,73.31999969482422
2018-07-10,73.62999725341797
2018-07-11,72.30000305175781
2018-07-12,73.18000030517578
2018-07-13,73.7300033569336
2018-07-16,74.08000183105469
2018-07-17,74.48999786376953
2018-07-18,74.66999816894531
2018-07-19,74.05000305175781
2018-07-20,73.8499984741211
2018-07-23,73.86000061035156
2018-07-24,74.5
2018-07-25,75.12000274658203
2018-07-26,71.30000305175781
2018-07-27,71.52999877929688
2018-07-30,70.26000213623047
2018-07-31,71.9000015258789
2018-08-01,69.01000213623047
2018-08-02,68.44000244140625
2018-08-03,68.6500015258789
2018-08-06,69.19999694824219
2018-08-07,69.02999877929688
2018-08-08,68.66000366210938
2018-08-09,68.5199966430664
2018-08-10,67.8499984741211
2018-08-13,67.08999633789062
2018-08-14,66.72000122070312
2018-08-15,64.45999908447266
2018-08-16,65.11000061035156
2018-08-17,65.86000061035156
2018-08-20,65.62999725341797
2018-08-21,66.26000213623047
2018-08-22,65.63999938964844
2018-08-23,65.51000213623047
2018-08-24,65.54000091552734
2018-08-27,66.72000122070312
2018-08-28,66.19999694824219
2018-08-29,66.22000122070312
2018-08-30,65.70999908447266
2018-08-31,65.41999816894531
2018-09-04,64.5
2018-09-05,63.11000061035156
2018-09-06,61.08000183105469
2018-09-07,60.619998931884766
2018-09-10,61.20000076293945
2018-09-11,60.5
2018-09-12,61.2400016784668
2018-09-13,61.25
2018-09-14,61.40999984741211
2018-09-17,61.22999954223633
2018-09-18,60.40999984741211
2018-09-19,60.95000076293945
2018-09-20,60.970001220703125
2018-09-21,60.95000076293945
2018-09-24,60.459999084472656
2018-09-25,60.65999984741211
2018-09-26,59.81999969482422
2018-09-27,59.7599983215332
2018-09-28,59.33000183105469
2018-10-01,59.75
2018-10-02,59.20000076293945
2018-10-03,60.81999969482422
2018-10-04,59.34999847412109
2018-10-05,58.70000076293945
2018-10-08,58.310001373291016
2018-10-09,58.27999877929688
2018-10-10,56.33000183105469
2018-10-11,55.4900016784668
2018-10-12,56.150001525878906
2018-10-15,55.81999969482422
