,LNT
2024-04-10,48.68000030517578
2024-04-11,48.47999954223633
2024-04-12,48.0
2024-04-15,48.0
2024-04-16,47.400001525878906
2024-04-17,48.41999816894531
2024-04-18,48.84000015258789
2024-04-19,49.81999969482422
2024-04-22,49.88999938964844
2024-04-23,49.970001220703125
2024-04-24,50.369998931884766
2024-04-25,50.22999954223633
2024-04-26,49.59000015258789
2024-04-29,49.77000045776367
2024-04-30,49.79999923706055
2024-05-01,50.36000061035156
2024-05-02,50.84999847412109
2024-05-03,50.84999847412109
2024-05-06,50.5
2024-05-07,51.130001068115234
2024-05-08,51.209999084472656
2024-05-09,51.70000076293945
2024-05-10,51.33000183105469
2024-05-13,51.34000015258789
2024-05-14,51.36000061035156
2024-05-15,51.9900016784668
2024-05-16,51.970001220703125
2024-05-17,51.970001220703125
2024-05-20,51.77999877929688
2024-05-21,52.119998931884766
2024-05-22,51.16999816894531
2024-05-23,50.0099983215332
