,KKR
2018-07-12,26.600000381469727
2018-07-13,26.530000686645508
2018-07-16,26.600000381469727
2018-07-17,26.899999618530277
2018-07-18,27.200000762939453
2018-07-19,27.059999465942383
2018-07-20,27.270000457763672
2018-07-23,27.34000015258789
2018-07-24,27.5
2018-07-25,27.739999771118164
2018-07-26,27.850000381469727
2018-07-27,27.65999984741211
2018-07-30,27.309999465942383
2018-07-31,27.3799991607666
2018-08-01,27.38999938964844
2018-08-02,27.1299991607666
2018-08-03,26.950000762939453
2018-08-06,26.63999938964844
2018-08-07,26.3799991607666
2018-08-08,26.13999938964844
2018-08-09,26.239999771118164
2018-08-10,25.729999542236328
2018-08-13,25.200000762939453
2018-08-14,25.440000534057617
2018-08-15,25.100000381469727
2018-08-16,25.3700008392334
2018-08-17,25.399999618530277
2018-08-20,25.549999237060547
2018-08-21,25.88999938964844
2018-08-22,26.209999084472656
2018-08-23,26.489999771118164
2018-08-24,26.690000534057617
2018-08-27,26.459999084472656
2018-08-28,26.31999969482422
2018-08-29,26.32999992370605
2018-08-30,26.059999465942383
2018-08-31,26.07999992370605
2018-09-04,25.959999084472656
2018-09-05,25.450000762939453
2018-09-06,25.170000076293945
2018-09-07,25.1200008392334
2018-09-10,26.350000381469727
2018-09-11,26.530000686645508
2018-09-12,26.8700008392334
2018-09-13,27.18000030517578
2018-09-14,27.520000457763672
2018-09-17,27.6200008392334
2018-09-18,27.670000076293945
2018-09-19,27.88999938964844
2018-09-20,28.020000457763672
2018-09-21,28.25
2018-09-24,28.25
2018-09-25,28.1200008392334
2018-09-26,28.0
2018-09-27,27.5
2018-09-28,27.270000457763672
2018-10-01,27.5
2018-10-02,27.520000457763672
2018-10-03,28.030000686645508
2018-10-04,27.700000762939453
2018-10-05,26.96999931335449
2018-10-08,26.36000061035156
2018-10-09,26.059999465942383
2018-10-10,24.420000076293945
2018-10-11,24.25
2018-10-12,24.489999771118164
2018-10-15,24.81999969482422
2018-10-16,25.649999618530277
2018-10-17,25.549999237060547
2018-10-18,24.670000076293945
2018-10-19,24.170000076293945
2018-10-22,23.90999984741211
2018-10-23,23.149999618530277
2018-10-24,22.1200008392334
2018-10-25,23.51000022888184
2018-10-26,22.940000534057617
2018-10-29,21.790000915527344
2018-10-30,23.13999938964844
2018-10-31,23.649999618530277
2018-11-01,24.56999969482422
2018-11-02,23.88999938964844
2018-11-05,24.0
2018-11-06,23.989999771118164
2018-11-07,24.739999771118164
2018-11-08,24.440000534057617
2018-11-09,23.790000915527344
2018-11-12,22.809999465942383
2018-11-13,22.8700008392334
2018-11-14,22.420000076293945
2018-11-15,22.299999237060547
2018-11-16,21.82999992370605
2018-11-19,21.100000381469727
2018-11-20,20.940000534057617
2018-11-21,21.739999771118164
2018-11-23,22.15999984741211
2018-11-26,22.68000030517578
2018-11-27,22.31999969482422
2018-11-28,23.0
2018-11-29,22.739999771118164
2018-11-30,22.920000076293945
2018-12-03,23.649999618530277
2018-12-04,22.200000762939453
2018-12-06,21.61000061035156
2018-12-07,21.0
2018-12-10,21.11000061035156
2018-12-11,20.90999984741211
2018-12-12,21.149999618530277
2018-12-13,20.790000915527344
2018-12-14,20.1200008392334
2018-12-17,19.799999237060547
2018-12-18,19.90999984741211
2018-12-19,19.350000381469727
2018-12-20,19.11000061035156
2018-12-21,19.020000457763672
2018-12-24,18.68000030517578
2018-12-26,19.6200008392334
2018-12-27,19.84000015258789
2018-12-28,19.63999938964844
2018-12-31,19.6299991607666
2019-01-02,19.6200008392334
2019-01-03,18.709999084472656
2019-01-04,20.0
2019-01-07,20.690000534057617
2019-01-08,21.1299991607666
2019-01-09,21.479999542236328
2019-01-10,21.1200008392334
2019-01-11,20.899999618530277
2019-01-14,20.76000022888184
2019-01-15,21.100000381469727
2019-01-16,22.25
2019-01-17,22.649999618530277
2019-01-18,22.81999969482422
2019-01-22,22.15999984741211
2019-01-23,22.290000915527344
2019-01-24,22.36000061035156
2019-01-25,22.82999992370605
2019-01-28,22.780000686645508
2019-01-29,22.459999084472656
2019-01-30,22.559999465942383
2019-01-31,22.450000762939453
2019-02-01,23.479999542236328
2019-02-04,23.709999084472656
2019-02-05,23.739999771118164
2019-02-06,23.239999771118164
2019-02-07,23.25
2019-02-08,23.170000076293945
2019-02-11,23.440000534057617
2019-02-12,23.61000061035156
2019-02-13,23.5
2019-02-14,23.38999938964844
2019-02-15,23.530000686645508
2019-02-19,23.700000762939453
2019-02-20,23.649999618530277
2019-02-21,23.65999984741211
2019-02-22,23.350000381469727
2019-02-25,22.790000915527344
2019-02-26,22.790000915527344
2019-02-27,22.82999992370605
2019-02-28,22.229999542236328
2019-03-01,22.559999465942383
2019-03-04,23.07999992370605
2019-03-05,22.8700008392334
2019-03-06,22.770000457763672
2019-03-07,22.71999931335449
2019-03-08,22.38999938964844
2019-03-11,22.959999084472656
2019-03-12,23.190000534057617
2019-03-13,23.81999969482422
2019-03-14,24.13999938964844
2019-03-15,24.15999984741211
2019-03-18,24.51000022888184
2019-03-19,24.209999084472656
2019-03-20,24.07999992370605
2019-03-21,24.520000457763672
2019-03-22,23.65999984741211
2019-03-25,23.559999465942383
2019-03-26,23.690000534057617
2019-03-27,23.21999931335449
2019-03-28,23.26000022888184
2019-03-29,23.489999771118164
2019-04-01,24.1299991607666
2019-04-02,23.25
2019-04-03,23.59000015258789
2019-04-04,23.649999618530277
2019-04-05,23.799999237060547
2019-04-08,23.649999618530277
2019-04-09,22.899999618530277
2019-04-10,23.06999969482422
2019-04-11,22.96999931335449
2019-04-12,23.34000015258789
2019-04-15,23.350000381469727
2019-04-16,23.86000061035156
2019-04-17,23.46999931335449
2019-04-18,23.76000022888184
2019-04-22,23.420000076293945
2019-04-23,23.780000686645508
2019-04-24,23.82999992370605
2019-04-25,24.11000061035156
2019-04-26,24.559999465942383
2019-04-29,24.809999465942383
2019-04-30,24.450000762939453
2019-05-01,24.63999938964844
2019-05-02,24.21999931335449
2019-05-03,24.670000076293945
2019-05-06,24.15999984741211
2019-05-07,23.90999984741211
2019-05-08,23.76000022888184
2019-05-09,23.920000076293945
2019-05-10,24.149999618530277
2019-05-13,23.290000915527344
2019-05-14,24.09000015258789
2019-05-15,24.209999084472656
2019-05-16,24.65999984741211
2019-05-17,24.670000076293945
2019-05-20,24.5
2019-05-21,24.96999931335449
2019-05-22,24.899999618530277
2019-05-23,24.040000915527344
2019-05-24,23.989999771118164
2019-05-28,23.549999237060547
2019-05-29,23.200000762939453
2019-05-30,23.3799991607666
2019-05-31,22.280000686645508
2019-06-03,22.71999931335449
2019-06-04,23.56999969482422
2019-06-05,23.709999084472656
2019-06-06,23.790000915527344
2019-06-07,23.959999084472656
2019-06-10,23.959999084472656
2019-06-11,24.040000915527344
2019-06-12,24.100000381469727
2019-06-13,24.309999465942383
2019-06-14,23.790000915527344
2019-06-17,23.520000457763672
2019-06-18,23.3799991607666
2019-06-19,24.290000915527344
2019-06-20,24.63999938964844
2019-06-21,24.59000015258789
2019-06-24,24.09000015258789
2019-06-25,23.959999084472656
2019-06-26,24.530000686645508
2019-06-27,24.899999618530277
2019-06-28,25.270000457763672
2019-07-01,25.8799991607666
2019-07-02,25.850000381469727
2019-07-03,25.989999771118164
2019-07-05,25.940000534057617
2019-07-08,25.399999618530277
2019-07-09,26.09000015258789
2019-07-10,26.209999084472656
2019-07-11,26.459999084472656
2019-07-12,26.790000915527344
2019-07-15,26.540000915527344
2019-07-16,26.049999237060547
2019-07-17,25.450000762939453
2019-07-18,25.440000534057617
2019-07-19,25.13999938964844
2019-07-22,26.13999938964844
2019-07-23,26.71999931335449
2019-07-24,27.290000915527344
2019-07-25,27.38999938964844
2019-07-26,27.299999237060547
2019-07-29,26.90999984741211
2019-07-30,27.01000022888184
2019-07-31,26.75
2019-08-01,25.690000534057617
2019-08-02,25.1299991607666
2019-08-05,24.38999938964844
2019-08-06,25.09000015258789
2019-08-07,24.459999084472656
2019-08-08,25.190000534057617
2019-08-09,25.170000076293945
2019-08-12,24.46999931335449
2019-08-13,25.030000686645508
2019-08-14,24.309999465942383
2019-08-15,23.979999542236328
2019-08-16,24.46999931335449
2019-08-19,24.709999084472656
2019-08-20,24.93000030517578
2019-08-21,25.700000762939453
2019-08-22,25.670000076293945
2019-08-23,25.459999084472656
2019-08-26,25.700000762939453
2019-08-27,25.65999984741211
2019-08-28,25.68000030517578
2019-08-29,25.959999084472656
2019-08-30,25.84000015258789
2019-09-03,25.270000457763672
2019-09-04,25.790000915527344
2019-09-05,26.76000022888184
2019-09-06,26.81999969482422
2019-09-09,26.940000534057617
2019-09-10,26.88999938964844
2019-09-11,27.200000762939453
2019-09-12,28.049999237060547
2019-09-13,28.1299991607666
2019-09-16,28.25
2019-09-17,28.559999465942383
2019-09-18,28.0
2019-09-19,28.84000015258789
2019-09-20,29.149999618530277
2019-09-23,29.440000534057617
2019-09-24,29.26000022888184
2019-09-25,29.600000381469727
2019-09-26,29.38999938964844
2019-09-27,27.31999969482422
2019-09-30,26.850000381469727
2019-10-01,26.059999465942383
2019-10-02,25.3799991607666
2019-10-03,25.68000030517578
2019-10-04,25.8799991607666
2019-10-07,26.26000022888184
2019-10-08,25.700000762939453
2019-10-09,26.229999542236328
2019-10-10,26.170000076293945
2019-10-11,26.299999237060547
2019-10-14,26.1299991607666
2019-10-15,26.790000915527344
2019-10-16,26.770000457763672
2019-10-17,27.280000686645508
2019-10-18,27.450000762939453
