,RVTY
2017-01-04,53.29999923706055
2017-01-05,52.72999954223633
2017-01-06,53.11000061035156
2017-01-09,53.54999923706055
2017-01-10,53.34000015258789
2017-01-11,53.040000915527344
2017-01-12,52.959999084472656
2017-01-13,53.900001525878906
2017-01-17,52.93000030517578
2017-01-18,52.43000030517578
2017-01-19,52.119998931884766
2017-01-20,51.709999084472656
2017-01-23,51.68999862670898
2017-01-24,51.56999969482422
2017-01-25,52.27999877929688
2017-01-26,52.060001373291016
2017-01-27,52.31999969482422
2017-01-30,51.79999923706055
2017-01-31,53.18999862670898
2017-02-01,53.7599983215332
2017-02-02,53.84999847412109
2017-02-03,52.16999816894531
2017-02-06,52.31999969482422
2017-02-07,52.68999862670898
2017-02-08,53.209999084472656
2017-02-09,53.72999954223633
2017-02-10,53.970001220703125
2017-02-13,54.38999938964844
2017-02-14,54.400001525878906
2017-02-15,55.54999923706055
2017-02-16,55.31999969482422
2017-02-17,55.93999862670898
2017-02-21,55.65999984741211
2017-02-22,55.20000076293945
2017-02-23,55.11000061035156
2017-02-24,55.040000915527344
2017-02-27,54.9900016784668
2017-02-28,54.2599983215332
2017-03-01,55.25
2017-03-02,54.619998931884766
2017-03-03,54.93999862670898
2017-03-06,54.27999877929688
2017-03-07,54.08000183105469
2017-03-08,54.38999938964844
2017-03-09,54.77000045776367
2017-03-10,55.59000015258789
2017-03-13,55.84000015258789
2017-03-14,55.81999969482422
2017-03-15,56.81999969482422
2017-03-16,56.119998931884766
2017-03-17,57.27000045776367
2017-03-20,57.13999938964844
2017-03-21,57.27000045776367
2017-03-22,57.18999862670898
2017-03-23,57.59000015258789
2017-03-24,57.52000045776367
2017-03-27,58.02999877929688
2017-03-28,57.959999084472656
2017-03-29,57.90999984741211
2017-03-30,57.90999984741211
2017-03-31,58.060001373291016
2017-04-03,58.0
2017-04-04,57.459999084472656
2017-04-05,57.2599983215332
2017-04-06,57.84999847412109
2017-04-07,57.84999847412109
2017-04-10,57.630001068115234
2017-04-11,57.459999084472656
2017-04-12,57.130001068115234
2017-04-13,56.95000076293945
2017-04-17,57.77999877929688
2017-04-18,57.59999847412109
2017-04-19,57.40999984741211
2017-04-20,57.2400016784668
2017-04-21,57.220001220703125
2017-04-24,58.209999084472656
2017-04-25,58.650001525878906
2017-04-26,59.97999954223633
2017-04-27,59.90999984741211
2017-04-28,59.40999984741211
2017-05-01,59.93000030517578
2017-05-02,59.63999938964844
2017-05-03,59.63999938964844
2017-05-04,60.4900016784668
2017-05-05,61.59999847412109
2017-05-08,61.88999938964844
2017-05-09,62.560001373291016
2017-05-10,62.66999816894531
2017-05-11,62.560001373291016
2017-05-12,62.380001068115234
2017-05-15,62.7599983215332
2017-05-16,62.540000915527344
2017-05-17,61.61000061035156
2017-05-18,61.65999984741211
2017-05-19,61.9900016784668
2017-05-22,62.16999816894531
2017-05-23,62.060001373291016
2017-05-24,62.400001525878906
2017-05-25,62.79999923706055
2017-05-26,62.79999923706055
2017-05-30,62.959999084472656
2017-05-31,63.060001373291016
2017-06-01,63.97999954223633
2017-06-02,64.87000274658203
2017-06-05,64.87999725341797
2017-06-06,64.75
2017-06-07,64.69999694824219
2017-06-08,64.22000122070312
2017-06-09,63.90999984741211
2017-06-12,63.70000076293945
2017-06-13,64.12999725341797
2017-06-14,64.0199966430664
2017-06-15,63.86000061035156
2017-06-16,63.56999969482422
2017-06-19,67.7300033569336
2017-06-20,68.0999984741211
2017-06-21,68.12999725341797
2017-06-22,67.80000305175781
2017-06-23,68.44999694824219
2017-06-26,68.0999984741211
2017-06-27,67.55000305175781
2017-06-28,68.27999877929688
2017-06-29,67.7300033569336
2017-06-30,68.13999938964844
2017-07-03,67.7300033569336
2017-07-05,68.25
2017-07-06,67.52999877929688
2017-07-07,67.97000122070312
2017-07-10,68.45999908447266
2017-07-11,68.66999816894531
2017-07-12,68.98999786376953
2017-07-13,69.25
2017-07-14,69.45999908447266
2017-07-17,69.94000244140625
2017-07-18,69.41000366210938
2017-07-19,69.38999938964844
2017-07-20,69.45999908447266
2017-07-21,69.5199966430664
2017-07-24,69.37000274658203
2017-07-25,68.2300033569336
2017-07-26,66.08999633789062
2017-07-27,65.79000091552734
2017-07-28,65.88999938964844
2017-07-31,65.83000183105469
2017-08-01,66.22000122070312
2017-08-02,66.72000122070312
2017-08-03,66.3499984741211
2017-08-04,64.29000091552734
2017-08-07,65.80000305175781
2017-08-08,64.02999877929688
2017-08-09,64.25
2017-08-10,62.95000076293945
2017-08-11,63.93000030517578
2017-08-14,64.0
2017-08-15,64.13999938964844
2017-08-16,64.63999938964844
2017-08-17,63.65999984741211
2017-08-18,63.470001220703125
2017-08-21,64.1500015258789
2017-08-22,64.94000244140625
2017-08-23,65.02999877929688
2017-08-24,65.18000030517578
2017-08-25,65.3499984741211
2017-08-28,65.70999908447266
2017-08-29,65.87999725341797
2017-08-30,66.19000244140625
2017-08-31,66.98999786376953
2017-09-01,66.98999786376953
2017-09-05,67.19999694824219
2017-09-06,67.58999633789062
2017-09-07,67.83000183105469
2017-09-08,67.6500015258789
