,CASY
2024-08-13,367.2099914550781
2024-08-14,366.30999755859375
2024-08-15,378.4200134277344
2024-08-16,380.2900085449219
2024-08-19,382.80999755859375
2024-08-20,374.8200073242188
2024-08-21,378.3599853515625
2024-08-22,370.0700073242188
2024-08-23,369.3999938964844
2024-08-26,375.4299926757813
2024-08-27,372.9599914550781
2024-08-28,368.0799865722656
2024-08-29,358.8399963378906
2024-08-30,362.30999755859375
2024-09-03,354.9200134277344
2024-09-04,354.5199890136719
2024-09-05,380.739990234375
2024-09-06,373.8200073242188
2024-09-09,366.9700012207031
2024-09-10,374.9100036621094
2024-09-11,373.3800048828125
2024-09-12,382.0700073242188
2024-09-13,381.6300048828125
2024-09-16,380.6799926757813
2024-09-17,375.30999755859375
2024-09-18,373.0199890136719
2024-09-19,365.2300109863281
2024-09-20,368.0
2024-09-23,377.9400024414063
2024-09-24,371.8699951171875
2024-09-25,371.9800109863281
2024-09-26,373.760009765625
2024-09-27,373.30999755859375
2024-09-30,375.7099914550781
2024-10-01,377.4700012207031
2024-10-02,370.1700134277344
2024-10-03,366.6499938964844
2024-10-04,370.5899963378906
2024-10-07,372.4200134277344
2024-10-08,380.739990234375
2024-10-09,391.1900024414063
2024-10-10,380.8800048828125
2024-10-11,385.8999938964844
2024-10-14,390.7799987792969
2024-10-15,389.2300109863281
2024-10-16,389.7200012207031
2024-10-17,387.0799865722656
2024-10-18,390.1499938964844
2024-10-21,392.1199951171875
2024-10-22,390.4200134277344
2024-10-23,390.5
2024-10-24,386.6199951171875
2024-10-25,391.1300048828125
2024-10-28,400.6099853515625
2024-10-29,398.510009765625
2024-10-30,398.30999755859375
2024-10-31,394.0199890136719
2024-11-01,393.1900024414063
2024-11-04,381.0799865722656
2024-11-05,396.8999938964844
2024-11-06,409.1799926757813
2024-11-07,413.3699951171875
2024-11-08,412.8500061035156
2024-11-11,410.9700012207031
2024-11-12,417.05999755859375
2024-11-13,409.1099853515625
2024-11-14,405.7099914550781
2024-11-15,401.3999938964844
2024-11-18,404.6000061035156
2024-11-19,411.6700134277344
2024-11-20,413.9500122070313
2024-11-21,416.3999938964844
2024-11-22,427.8800048828125
2024-11-25,426.6900024414063
2024-11-26,426.489990234375
2024-11-27,420.9800109863281
2024-11-29,420.8900146484375
2024-12-02,421.0799865722656
2024-12-03,417.5199890136719
2024-12-04,415.7699890136719
2024-12-05,420.0700073242188
2024-12-06,422.2699890136719
2024-12-09,418.1099853515625
2024-12-10,416.8599853515625
2024-12-11,427.80999755859375
2024-12-12,425.7000122070313
2024-12-13,425.2699890136719
2024-12-16,424.510009765625
2024-12-17,421.3900146484375
2024-12-18,406.1600036621094
2024-12-19,409.1499938964844
2024-12-20,403.1600036621094
2024-12-23,399.55999755859375
2024-12-24,403.6700134277344
2024-12-26,405.4800109863281
2024-12-27,403.9800109863281
2024-12-30,398.7000122070313
2024-12-31,396.2300109863281
2025-01-02,394.6499938964844
2025-01-03,397.9299926757813
2025-01-06,396.760009765625
2025-01-07,389.30999755859375
2025-01-08,390.8399963378906
2025-01-10,386.05999755859375
