,HLT
2022-12-15,133.25
2022-12-16,130.99000549316406
2022-12-19,129.89999389648438
2022-12-20,129.49000549316406
2022-12-21,127.25
2022-12-22,125.94000244140624
2022-12-23,126.43000030517578
2022-12-27,125.73999786376952
2022-12-28,124.0199966430664
2022-12-29,126.04000091552734
2022-12-30,126.36000061035156
2023-01-03,125.02999877929688
2023-01-04,127.83999633789062
2023-01-05,126.83999633789062
2023-01-06,130.25
2023-01-09,129.0800018310547
2023-01-10,129.4600067138672
2023-01-11,134.44000244140625
2023-01-12,135.0
2023-01-13,136.8800048828125
2023-01-17,136.19000244140625
2023-01-18,134.52999877929688
2023-01-19,135.05999755859375
2023-01-20,138.72000122070312
2023-01-23,140.0
2023-01-24,140.24000549316406
2023-01-25,142.27000427246094
2023-01-26,144.05999755859375
2023-01-27,144.7100067138672
2023-01-30,142.9199981689453
2023-01-31,145.08999633789062
2023-02-01,147.3800048828125
2023-02-02,147.08999633789062
