,WRB
2022-01-07,37.59111022949219
2022-01-10,37.50666809082031
2022-01-11,37.804443359375
2022-01-12,38.00444412231445
2022-01-13,38.328887939453125
2022-01-14,38.040000915527344
2022-01-18,37.65777969360352
2022-01-19,36.68000030517578
2022-01-20,37.022220611572266
2022-01-21,36.68444442749024
2022-01-24,37.04888916015625
2022-01-25,36.6533317565918
2022-01-26,36.60444259643555
2022-01-27,36.1511116027832
2022-01-28,37.62666702270508
2022-01-31,37.55555725097656
2022-02-01,38.12888717651367
2022-02-02,39.00444412231445
2022-02-03,39.52888870239258
2022-02-04,39.893333435058594
2022-02-07,40.36000061035156
2022-02-08,41.24444580078125
2022-02-09,41.16444396972656
2022-02-10,40.86222076416016
2022-02-11,39.98666763305664
2022-02-14,39.77333450317383
2022-02-15,40.04888916015625
2022-02-16,40.42222213745117
2022-02-17,39.893333435058594
2022-02-18,40.20888900756836
2022-02-22,40.195556640625
2022-02-23,39.71110916137695
2022-02-24,38.9555549621582
2022-02-25,40.52888870239258
2022-02-28,40.133331298828125
2022-03-01,39.19111251831055
2022-03-02,40.2400016784668
2022-03-03,40.16444396972656
2022-03-04,40.040000915527344
2022-03-07,39.511112213134766
2022-03-08,39.65777969360352
2022-03-09,40.74666595458984
2022-03-10,41.2488899230957
2022-03-11,41.9555549621582
2022-03-14,41.635555267333984
2022-03-15,42.22222137451172
2022-03-16,41.795555114746094
2022-03-17,42.328887939453125
2022-03-18,42.66666793823242
2022-03-21,43.54222106933594
2022-03-22,43.924442291259766
2022-03-23,43.53333282470703
2022-03-24,43.560001373291016
2022-03-25,43.98666763305664
2022-03-28,44.17333221435547
2022-03-29,44.5
2022-03-30,44.720001220703125
2022-03-31,44.393333435058594
2022-04-01,44.87333297729492
2022-04-04,43.973331451416016
2022-04-05,44.27999877929688
2022-04-06,44.53333282470703
2022-04-07,44.8466682434082
2022-04-08,45.133331298828125
2022-04-11,44.973331451416016
2022-04-12,45.68000030517578
2022-04-13,45.5533332824707
2022-04-14,45.47999954223633
2022-04-18,46.28666687011719
2022-04-19,46.133331298828125
2022-04-20,47.36666870117188
2022-04-21,46.3466682434082
2022-04-22,45.31333160400391
2022-04-25,45.26666641235352
2022-04-26,44.86000061035156
2022-04-27,45.43333435058594
2022-04-28,45.83333206176758
2022-04-29,44.32666778564453
2022-05-02,44.12666702270508
2022-05-03,44.84000015258789
