,BKR
2020-10-08,13.380000114440918
2020-10-09,13.199999809265137
2020-10-12,13.130000114440918
2020-10-13,12.859999656677246
2020-10-14,13.149999618530272
2020-10-15,13.449999809265137
2020-10-16,13.140000343322754
2020-10-19,13.109999656677246
2020-10-20,13.630000114440918
2020-10-21,14.039999961853027
2020-10-22,14.460000038146973
2020-10-23,14.289999961853027
2020-10-26,13.899999618530272
2020-10-27,14.170000076293944
2020-10-28,13.699999809265137
2020-10-29,14.350000381469728
2020-10-30,14.770000457763672
2020-11-02,15.710000038146973
2020-11-03,15.880000114440918
2020-11-04,15.65999984741211
2020-11-05,15.729999542236328
2020-11-06,15.56999969482422
2020-11-09,17.670000076293945
2020-11-10,17.600000381469727
2020-11-11,17.559999465942383
2020-11-12,17.25
2020-11-13,17.8700008392334
2020-11-16,18.790000915527344
2020-11-17,19.26000022888184
2020-11-18,18.57999992370605
2020-11-19,18.309999465942383
2020-11-20,18.209999084472656
2020-11-23,19.26000022888184
2020-11-24,20.26000022888184
2020-11-25,19.780000686645508
2020-11-27,19.780000686645508
2020-11-30,18.71999931335449
2020-12-01,19.229999542236328
2020-12-02,19.670000076293945
2020-12-03,20.420000076293945
2020-12-04,21.790000915527344
2020-12-07,22.020000457763672
2020-12-08,22.420000076293945
2020-12-09,22.729999542236328
2020-12-10,23.1200008392334
2020-12-11,22.670000076293945
2020-12-14,21.68000030517578
2020-12-15,22.01000022888184
2020-12-16,21.5
2020-12-17,21.5
2020-12-18,21.170000076293945
2020-12-21,21.25
2020-12-22,21.190000534057617
2020-12-23,21.1299991607666
2020-12-24,21.01000022888184
2020-12-28,20.8799991607666
2020-12-29,20.75
2020-12-30,21.209999084472656
2020-12-31,20.850000381469727
2021-01-04,21.020000457763672
2021-01-05,21.26000022888184
2021-01-06,22.15999984741211
2021-01-07,22.670000076293945
2021-01-08,22.46999931335449
2021-01-11,22.64999961853028
2021-01-12,23.040000915527344
2021-01-13,23.0
2021-01-14,23.709999084472656
