,BX
2017-06-02,33.689998626708984
2017-06-05,33.31999969482422
2017-06-06,33.11000061035156
2017-06-07,33.290000915527344
2017-06-08,33.290000915527344
2017-06-09,33.369998931884766
2017-06-12,32.630001068115234
2017-06-13,32.93000030517578
2017-06-14,32.77000045776367
2017-06-15,32.540000915527344
2017-06-16,32.65999984741211
2017-06-19,33.06999969482422
2017-06-20,32.939998626708984
2017-06-21,32.959999084472656
2017-06-22,33.060001373291016
2017-06-23,33.13999938964844
2017-06-26,33.150001525878906
2017-06-27,32.95000076293945
2017-06-28,33.34000015258789
2017-06-29,33.27000045776367
2017-06-30,33.349998474121094
2017-07-03,33.119998931884766
2017-07-05,33.029998779296875
2017-07-06,32.880001068115234
2017-07-07,32.9900016784668
2017-07-10,33.29999923706055
2017-07-11,33.529998779296875
2017-07-12,33.66999816894531
2017-07-13,33.869998931884766
2017-07-14,34.439998626708984
2017-07-17,34.54999923706055
2017-07-18,34.5099983215332
2017-07-19,34.779998779296875
2017-07-20,34.279998779296875
2017-07-21,34.41999816894531
2017-07-24,34.349998474121094
2017-07-25,34.54999923706055
2017-07-26,34.4900016784668
2017-07-27,33.77000045776367
2017-07-28,33.529998779296875
2017-07-31,33.45000076293945
2017-08-01,33.5
2017-08-02,33.209999084472656
2017-08-03,33.18000030517578
2017-08-04,33.779998779296875
2017-08-07,33.849998474121094
2017-08-08,33.790000915527344
2017-08-09,33.400001525878906
2017-08-10,32.29999923706055
2017-08-11,31.950000762939453
2017-08-14,32.43000030517578
2017-08-15,32.2599983215332
2017-08-16,32.16999816894531
2017-08-17,31.600000381469727
2017-08-18,31.520000457763672
2017-08-21,31.36000061035156
2017-08-22,31.76000022888184
2017-08-23,31.799999237060547
2017-08-24,31.6200008392334
2017-08-25,31.56999969482422
2017-08-28,31.950000762939453
2017-08-29,31.940000534057617
2017-08-30,32.529998779296875
2017-08-31,32.72999954223633
2017-09-01,32.709999084472656
2017-09-05,32.040000915527344
2017-09-06,32.0099983215332
2017-09-07,31.6200008392334
2017-09-08,31.61000061035156
2017-09-11,32.150001525878906
2017-09-12,32.20000076293945
2017-09-13,32.029998779296875
2017-09-14,32.09000015258789
2017-09-15,32.290000915527344
2017-09-18,32.33000183105469
2017-09-19,32.40999984741211
2017-09-20,32.619998931884766
2017-09-21,32.709999084472656
2017-09-22,33.16999816894531
2017-09-25,33.130001068115234
2017-09-26,32.83000183105469
2017-09-27,32.93000030517578
2017-09-28,33.33000183105469
2017-09-29,33.369998931884766
2017-10-02,33.0
2017-10-03,33.22999954223633
2017-10-04,33.560001373291016
2017-10-05,33.619998931884766
2017-10-06,33.439998626708984
2017-10-09,33.2599983215332
2017-10-10,33.08000183105469
2017-10-11,33.189998626708984
2017-10-12,33.0
2017-10-13,32.93000030517578
2017-10-16,33.2599983215332
2017-10-17,33.220001220703125
2017-10-18,33.4900016784668
2017-10-19,34.0099983215332
2017-10-20,34.459999084472656
2017-10-23,34.720001220703125
2017-10-24,34.59000015258789
2017-10-25,34.16999816894531
2017-10-26,33.77000045776367
2017-10-27,33.5
2017-10-30,33.04999923706055
2017-10-31,33.290000915527344
2017-11-01,32.88999938964844
2017-11-02,32.5099983215332
2017-11-03,32.88999938964844
2017-11-06,33.029998779296875
2017-11-07,33.040000915527344
2017-11-08,32.650001525878906
2017-11-09,32.43000030517578
2017-11-10,32.130001068115234
2017-11-13,31.76000022888184
2017-11-14,31.200000762939453
2017-11-15,30.920000076293945
2017-11-16,31.56999969482422
2017-11-17,31.780000686645508
2017-11-20,31.82999992370605
2017-11-21,31.8799991607666
2017-11-22,31.850000381469727
2017-11-24,31.670000076293945
2017-11-27,31.309999465942383
2017-11-28,31.489999771118164
2017-11-29,31.530000686645508
2017-11-30,31.71999931335449
2017-12-01,31.57999992370605
2017-12-04,32.11000061035156
2017-12-05,32.13999938964844
2017-12-06,31.76000022888184
2017-12-07,31.93000030517578
2017-12-08,32.189998626708984
2017-12-11,32.16999816894531
2017-12-12,32.04999923706055
2017-12-13,31.989999771118164
2017-12-14,31.71999931335449
2017-12-15,31.40999984741211
2017-12-18,31.799999237060547
2017-12-19,31.700000762939453
2017-12-20,31.989999771118164
2017-12-21,32.900001525878906
2017-12-22,32.7599983215332
2017-12-26,32.33000183105469
2017-12-27,32.5099983215332
2017-12-28,32.27000045776367
2017-12-29,32.02000045776367
2018-01-02,32.52000045776367
2018-01-03,33.0
2018-01-04,33.2599983215332
2018-01-05,33.0099983215332
2018-01-08,33.279998779296875
2018-01-09,33.7400016784668
2018-01-10,34.18000030517578
2018-01-11,34.529998779296875
2018-01-12,35.38999938964844
2018-01-16,35.02000045776367
2018-01-17,34.959999084472656
2018-01-18,34.90999984741211
2018-01-19,34.70000076293945
2018-01-22,35.0
2018-01-23,35.83000183105469
2018-01-24,36.08000183105469
2018-01-25,36.34999847412109
2018-01-26,36.77999877929688
2018-01-29,36.560001373291016
2018-01-30,36.130001068115234
2018-01-31,36.54999923706055
2018-02-01,36.34999847412109
2018-02-02,35.29999923706055
2018-02-05,34.2400016784668
2018-02-06,34.650001525878906
2018-02-07,34.95000076293945
2018-02-08,33.900001525878906
2018-02-09,32.95000076293945
2018-02-12,33.279998779296875
2018-02-13,33.54999923706055
2018-02-14,33.779998779296875
2018-02-15,34.650001525878906
2018-02-16,34.5099983215332
2018-02-20,34.16999816894531
2018-02-21,34.040000915527344
2018-02-22,34.02000045776367
2018-02-23,34.2599983215332
2018-02-26,34.45000076293945
2018-02-27,34.20000076293945
2018-02-28,34.0
2018-03-01,33.56999969482422
2018-03-02,33.349998474121094
2018-03-05,33.43000030517578
2018-03-06,33.61000061035156
2018-03-07,33.209999084472656
2018-03-08,33.40999984741211
2018-03-09,34.060001373291016
2018-03-12,34.43000030517578
2018-03-13,34.2599983215332
2018-03-14,33.97999954223633
2018-03-15,33.68000030517578
2018-03-16,33.790000915527344
2018-03-19,33.380001068115234
2018-03-20,33.38999938964844
2018-03-21,33.27000045776367
2018-03-22,32.4900016784668
2018-03-23,31.8799991607666
2018-03-26,32.25
2018-03-27,31.770000457763672
2018-03-28,31.520000457763672
2018-03-29,31.950000762939453
2018-04-02,31.46999931335449
2018-04-03,31.1200008392334
2018-04-04,31.299999237060547
2018-04-05,31.299999237060547
2018-04-06,31.01000022888184
2018-04-09,30.709999084472656
2018-04-10,31.059999465942383
2018-04-11,30.979999542236328
2018-04-12,31.1299991607666
2018-04-13,30.71999931335449
2018-04-16,31.049999237060547
2018-04-17,31.479999542236328
2018-04-18,31.780000686645508
2018-04-19,32.119998931884766
2018-04-20,32.22999954223633
2018-04-23,32.349998474121094
2018-04-24,32.18000030517578
2018-04-25,31.65999984741211
2018-04-26,31.51000022888184
2018-04-27,30.82999992370605
2018-04-30,30.950000762939453
2018-05-01,31.100000381469727
2018-05-02,30.940000534057617
2018-05-03,31.059999465942383
2018-05-04,31.809999465942383
2018-05-07,31.8799991607666
2018-05-08,31.63999938964844
2018-05-09,31.950000762939453
2018-05-10,31.8799991607666
2018-05-11,31.46999931335449
2018-05-14,31.18000030517578
2018-05-15,31.100000381469727
2018-05-16,31.290000915527344
2018-05-17,31.450000762939453
2018-05-18,31.290000915527344
2018-05-21,31.68000030517578
2018-05-22,31.8700008392334
2018-05-23,31.790000915527344
2018-05-24,31.799999237060547
2018-05-25,31.920000076293945
2018-05-29,31.420000076293945
2018-05-30,31.729999542236328
2018-05-31,31.93000030517578
2018-06-01,32.34000015258789
2018-06-04,32.5
2018-06-05,32.41999816894531
2018-06-06,32.619998931884766
2018-06-07,32.65999984741211
2018-06-08,32.75
2018-06-11,32.900001525878906
2018-06-12,32.81999969482422
2018-06-13,33.040000915527344
2018-06-14,33.29999923706055
2018-06-15,33.2599983215332
2018-06-18,33.040000915527344
2018-06-19,32.72999954223633
2018-06-20,32.7400016784668
2018-06-21,32.439998626708984
2018-06-22,32.540000915527344
2018-06-25,31.989999771118164
2018-06-26,31.780000686645508
2018-06-27,31.84000015258789
2018-06-28,31.709999084472656
2018-06-29,32.16999816894531
2018-07-02,33.15999984741211
2018-07-03,34.25
2018-07-05,35.130001068115234
2018-07-06,35.529998779296875
2018-07-09,35.11000061035156
2018-07-10,34.939998626708984
2018-07-11,34.630001068115234
2018-07-12,35.060001373291016
2018-07-13,35.209999084472656
2018-07-16,35.33000183105469
2018-07-17,35.709999084472656
2018-07-18,36.22999954223633
2018-07-19,35.63999938964844
2018-07-20,35.95000076293945
2018-07-23,35.9900016784668
2018-07-24,36.18999862670898
2018-07-25,36.04999923706055
2018-07-26,36.0
2018-07-27,35.290000915527344
2018-07-30,34.959999084472656
2018-07-31,34.91999816894531
2018-08-01,34.779998779296875
2018-08-02,34.720001220703125
2018-08-03,35.0099983215332
2018-08-06,35.279998779296875
2018-08-07,35.560001373291016
2018-08-08,35.970001220703125
2018-08-09,35.77000045776367
2018-08-10,35.349998474121094
2018-08-13,34.9900016784668
2018-08-14,35.7599983215332
2018-08-15,35.40999984741211
2018-08-16,35.849998474121094
2018-08-17,36.20000076293945
2018-08-20,36.79999923706055
2018-08-21,36.4900016784668
2018-08-22,36.40999984741211
2018-08-23,36.29999923706055
2018-08-24,36.70000076293945
2018-08-27,36.880001068115234
2018-08-28,36.720001220703125
2018-08-29,36.91999816894531
2018-08-30,36.88999938964844
2018-08-31,36.90999984741211
2018-09-04,36.90999984741211
2018-09-05,36.459999084472656
2018-09-06,35.459999084472656
2018-09-07,35.2599983215332
2018-09-10,35.900001525878906
2018-09-11,35.63999938964844
2018-09-12,35.79999923706055
2018-09-13,35.939998626708984
2018-09-14,36.79999923706055
2018-09-17,37.09999847412109
2018-09-18,37.52999877929688
2018-09-19,37.5
2018-09-20,37.77999877929688
2018-09-21,39.4900016784668
2018-09-24,39.68999862670898
2018-09-25,39.040000915527344
2018-09-26,38.56999969482422
