,TECH
2019-11-20,54.532501220703125
2019-11-21,53.67250061035156
2019-11-22,53.869998931884766
2019-11-25,55.022499084472656
2019-11-26,54.997501373291016
2019-11-27,55.5
2019-11-29,54.5625
2019-12-02,54.46749877929688
2019-12-03,53.88249969482422
2019-12-04,54.595001220703125
2019-12-05,54.442501068115234
2019-12-06,54.82749938964844
2019-12-09,54.81499862670898
2019-12-10,54.99250030517578
2019-12-11,53.92250061035156
2019-12-12,54.57749938964844
2019-12-13,53.255001068115234
2019-12-16,54.71749877929688
2019-12-17,54.33250045776367
2019-12-18,54.00749969482422
2019-12-19,54.19499969482422
2019-12-20,55.522499084472656
2019-12-23,55.42250061035156
2019-12-24,55.185001373291016
2019-12-26,54.584999084472656
2019-12-27,54.58000183105469
2019-12-30,54.3650016784668
2019-12-31,54.87749862670898
2020-01-02,54.8650016784668
2020-01-03,54.16999816894531
2020-01-06,54.290000915527344
2020-01-07,53.994998931884766
2020-01-08,53.775001525878906
2020-01-09,54.17250061035156
2020-01-10,54.03499984741211
2020-01-13,54.32500076293945
2020-01-14,54.46500015258789
2020-01-15,55.07500076293945
2020-01-16,54.852500915527344
2020-01-17,55.15250015258789
2020-01-21,55.37749862670898
2020-01-22,54.79499816894531
2020-01-23,54.68999862670898
2020-01-24,53.7400016784668
2020-01-27,54.1974983215332
2020-01-28,54.60749816894531
2020-01-29,54.38249969482422
2020-01-30,53.25
2020-01-31,52.49250030517578
2020-02-03,51.8125
2020-02-04,52.09249877929688
2020-02-05,51.65999984741211
2020-02-06,51.087501525878906
2020-02-07,50.26499938964844
2020-02-10,51.42250061035156
2020-02-11,51.37749862670898
2020-02-12,51.36750030517578
2020-02-13,51.41249847412109
2020-02-14,52.13249969482422
2020-02-18,51.59000015258789
2020-02-19,52.66249847412109
2020-02-20,52.21749877929688
2020-02-21,51.50749969482422
2020-02-24,50.40499877929688
2020-02-25,49.40999984741211
2020-02-26,49.45750045776367
2020-02-27,48.25249862670898
2020-02-28,47.22249984741211
2020-03-02,49.40999984741211
2020-03-03,48.345001220703125
2020-03-04,49.42250061035156
2020-03-05,48.52000045776367
2020-03-06,48.54999923706055
2020-03-09,47.165000915527344
2020-03-10,46.994998931884766
2020-03-11,45.14500045776367
2020-03-12,41.619998931884766
2020-03-13,44.90499877929688
2020-03-16,40.29249954223633
2020-03-17,42.375
2020-03-18,41.18000030517578
2020-03-19,41.60499954223633
2020-03-20,41.81499862670898
2020-03-23,42.584999084472656
2020-03-24,42.470001220703125
2020-03-25,43.122501373291016
2020-03-26,46.58000183105469
2020-03-27,46.09749984741211
2020-03-30,47.6974983215332
2020-03-31,47.40499877929688
2020-04-01,46.35749816894531
2020-04-02,47.70500183105469
2020-04-03,46.59749984741211
2020-04-06,48.63750076293945
2020-04-07,48.40250015258789
2020-04-08,49.75
2020-04-09,48.17250061035156
2020-04-13,47.720001220703125
2020-04-14,49.81999969482422
2020-04-15,50.372501373291016
2020-04-16,52.994998931884766
2020-04-17,53.45500183105469
2020-04-20,51.9474983215332
2020-04-21,50.09249877929688
2020-04-22,51.962501525878906
2020-04-23,52.432498931884766
2020-04-24,50.462501525878906
2020-04-27,52.21749877929688
2020-04-28,51.1875
2020-04-29,52.79499816894531
2020-04-30,56.25
2020-05-01,56.8849983215332
2020-05-04,59.157501220703125
2020-05-05,61.51499938964844
2020-05-06,65.40750122070312
2020-05-07,65.875
2020-05-08,67.625
2020-05-11,69.88999938964844
2020-05-12,68.2300033569336
2020-05-13,65.4574966430664
2020-05-14,65.51249694824219
2020-05-15,66.82749938964844
2020-05-18,66.69750213623047
2020-05-19,65.01249694824219
2020-05-20,67.44000244140625
2020-05-21,66.6875
2020-05-22,66.5999984741211
2020-05-26,65.1624984741211
2020-05-27,64.31749725341797
2020-05-28,64.5999984741211
2020-05-29,66.19999694824219
2020-06-01,65.51499938964844
2020-06-02,65.95999908447266
2020-06-03,64.85749816894531
2020-06-04,63.13750076293945
2020-06-05,64.1449966430664
2020-06-08,63.75
2020-06-09,63.12749862670898
2020-06-10,65.5
2020-06-11,60.50749969482422
2020-06-12,61.432498931884766
2020-06-15,63.59000015258789
2020-06-16,62.71749877929688
2020-06-17,63.845001220703125
2020-06-18,63.47499847412109
2020-06-19,64.42749786376953
2020-06-22,65.55750274658203
2020-06-23,65.46499633789062
2020-06-24,63.12749862670898
2020-06-25,64.56749725341797
2020-06-26,64.11250305175781
2020-06-29,63.45249938964844
2020-06-30,66.01750183105469
2020-07-01,66.50250244140625
2020-07-02,67.29499816894531
2020-07-06,67.4625015258789
2020-07-07,66.6875
2020-07-08,68.50250244140625
2020-07-09,69.34249877929688
2020-07-10,68.0999984741211
2020-07-13,65.78250122070312
2020-07-14,66.6675033569336
2020-07-15,68.57499694824219
2020-07-16,68.1675033569336
2020-07-17,69.94000244140625
2020-07-20,70.73999786376953
2020-07-21,69.23999786376953
2020-07-22,68.98249816894531
2020-07-23,68.3550033569336
2020-07-24,67.51750183105469
2020-07-27,69.19999694824219
2020-07-28,67.66999816894531
2020-07-29,68.5875015258789
2020-07-30,69.21749877929688
2020-07-31,68.79000091552734
2020-08-03,69.71749877929688
2020-08-04,69.22250366210938
2020-08-05,66.96749877929688
2020-08-06,66.63749694824219
2020-08-07,66.44000244140625
2020-08-10,64.4749984741211
2020-08-11,65.45500183105469
2020-08-12,65.8550033569336
2020-08-13,66.57250213623047
2020-08-14,65.25749969482422
2020-08-17,65.67749786376953
2020-08-18,65.60749816894531
2020-08-19,65.01249694824219
2020-08-20,64.61000061035156
2020-08-21,64.45500183105469
2020-08-24,62.58250045776367
2020-08-25,62.72999954223633
2020-08-26,63.192501068115234
2020-08-27,63.2599983215332
2020-08-28,63.2599983215332
2020-08-31,63.8650016784668
2020-09-01,64.36000061035156
2020-09-02,65.39250183105469
2020-09-03,62.665000915527344
2020-09-04,61.55500030517578
2020-09-08,61.3849983215332
2020-09-09,62.50749969482422
2020-09-10,61.58000183105469
2020-09-11,60.9375
2020-09-14,61.834999084472656
2020-09-15,61.40250015258789
2020-09-16,61.150001525878906
2020-09-17,61.307498931884766
2020-09-18,60.97499847412109
2020-09-21,59.42499923706055
2020-09-22,60.810001373291016
2020-09-23,60.747501373291016
2020-09-24,58.05500030517578
2020-09-25,60.435001373291016
2020-09-28,60.935001373291016
2020-09-29,61.68999862670898
2020-09-30,61.932498931884766
2020-10-01,62.1775016784668
2020-10-02,61.72499847412109
2020-10-05,63.04249954223633
2020-10-06,64.04750061035156
2020-10-07,65.98500061035156
2020-10-08,65.4749984741211
2020-10-09,66.2699966430664
2020-10-12,67.13500213623047
2020-10-13,67.3949966430664
2020-10-14,67.21749877929688
2020-10-15,66.38999938964844
2020-10-16,66.4175033569336
2020-10-19,66.1449966430664
2020-10-20,66.12249755859375
2020-10-21,65.44999694824219
2020-10-22,67.41500091552734
2020-10-23,67.11499786376953
2020-10-26,66.13749694824219
2020-10-27,66.55000305175781
2020-10-28,64.4124984741211
2020-10-29,63.92250061035156
2020-10-30,63.102500915527344
2020-11-02,65.0
2020-11-03,66.58499908447266
2020-11-04,66.79000091552734
2020-11-05,76.1500015258789
2020-11-06,75.61750030517578
2020-11-09,76.05000305175781
2020-11-10,75.06999969482422
2020-11-11,76.61250305175781
2020-11-12,75.88249969482422
2020-11-13,75.7125015258789
2020-11-16,75.71499633789062
2020-11-17,76.93250274658203
2020-11-18,75.23750305175781
2020-11-19,75.56500244140625
2020-11-20,76.2249984741211
2020-11-23,75.93499755859375
2020-11-24,75.70500183105469
2020-11-25,75.4375
2020-11-27,74.4124984741211
2020-11-30,75.82749938964844
2020-12-01,76.23500061035156
2020-12-02,74.5824966430664
2020-12-03,74.73750305175781
2020-12-04,76.6449966430664
2020-12-07,76.98249816894531
2020-12-08,77.2125015258789
2020-12-09,75.41000366210938
2020-12-10,76.30000305175781
2020-12-11,76.23999786376953
2020-12-14,76.61250305175781
2020-12-15,77.0425033569336
2020-12-16,75.75499725341797
2020-12-17,77.44000244140625
2020-12-18,80.05999755859375
2020-12-21,80.46749877929688
2020-12-22,80.13999938964844
2020-12-23,80.01499938964844
2020-12-24,80.40499877929688
2020-12-28,78.94750213623047
2020-12-29,78.72750091552734
2020-12-30,79.24749755859375
2020-12-31,79.38749694824219
2021-01-04,78.65499877929688
2021-01-05,79.25
2021-01-06,82.72750091552734
2021-01-07,83.9625015258789
2021-01-08,82.37999725341797
2021-01-11,83.70500183105469
2021-01-12,83.50250244140625
2021-01-13,82.6449966430664
2021-01-14,84.30000305175781
2021-01-15,86.92749786376953
2021-01-19,87.94499969482422
2021-01-20,89.1675033569336
2021-01-21,88.91999816894531
2021-01-22,89.14749908447266
2021-01-25,88.11000061035156
2021-01-26,85.08499908447266
2021-01-27,79.60749816894531
2021-01-28,80.62999725341797
2021-01-29,81.22750091552734
2021-02-01,85.01750183105469
2021-02-02,94.19000244140624
2021-02-03,92.10250091552734
2021-02-04,95.68250274658205
2021-02-05,95.1675033569336
