,WSM
2016-06-24,26.2549991607666
2016-06-27,24.780000686645508
2016-06-28,25.584999084472656
2016-06-29,26.059999465942383
2016-06-30,26.065000534057617
2016-07-01,26.559999465942383
2016-07-05,25.565000534057617
2016-07-06,25.93000030517578
2016-07-07,25.80500030517578
2016-07-08,27.06999969482422
2016-07-11,27.600000381469727
2016-07-12,28.040000915527344
2016-07-13,27.64999961853028
2016-07-14,27.584999084472656
2016-07-15,26.770000457763672
2016-07-18,26.979999542236328
2016-07-19,26.834999084472656
2016-07-20,27.05500030517578
2016-07-21,26.64999961853028
2016-07-22,26.7549991607666
2016-07-25,27.040000915527344
2016-07-26,26.415000915527344
2016-07-27,26.0049991607666
2016-07-28,27.01000022888184
2016-07-29,27.040000915527344
2016-08-01,26.795000076293945
2016-08-02,25.915000915527344
2016-08-03,25.815000534057617
2016-08-04,25.68000030517578
2016-08-05,26.3700008392334
2016-08-08,26.69499969482422
2016-08-09,26.14999961853028
2016-08-10,25.36000061035156
2016-08-11,26.30500030517578
2016-08-12,27.0049991607666
2016-08-15,27.05500030517578
2016-08-16,26.5
2016-08-17,25.8700008392334
2016-08-18,26.11000061035156
2016-08-19,26.290000915527344
2016-08-22,26.395000457763672
2016-08-23,27.13500022888184
2016-08-24,27.06999969482422
2016-08-25,27.57999992370605
2016-08-26,26.364999771118164
2016-08-29,26.63500022888184
2016-08-30,26.65999984741211
2016-08-31,26.31999969482422
2016-09-01,26.049999237060547
2016-09-02,26.01499938964844
2016-09-06,25.59499931335449
2016-09-07,25.864999771118164
2016-09-08,26.155000686645508
2016-09-09,24.475000381469727
2016-09-12,24.95499992370605
2016-09-13,24.690000534057617
2016-09-14,24.405000686645508
2016-09-15,24.795000076293945
2016-09-16,24.950000762939453
2016-09-19,25.02499961853028
2016-09-20,24.850000381469727
2016-09-21,24.975000381469727
2016-09-22,25.229999542236328
2016-09-23,25.145000457763672
2016-09-26,24.88999938964844
2016-09-27,25.280000686645508
2016-09-28,25.200000762939453
2016-09-29,25.209999084472656
2016-09-30,25.540000915527344
2016-10-03,25.645000457763672
2016-10-04,25.489999771118164
2016-10-05,25.545000076293945
2016-10-06,25.13999938964844
2016-10-07,24.670000076293945
2016-10-10,24.770000457763672
2016-10-11,24.38500022888184
2016-10-12,24.48500061035156
2016-10-13,24.375
2016-10-14,23.770000457763672
2016-10-17,23.45499992370605
2016-10-18,23.48500061035156
2016-10-19,23.475000381469727
2016-10-20,23.48500061035156
2016-10-21,23.4950008392334
2016-10-24,23.604999542236328
2016-10-25,23.34000015258789
2016-10-26,23.325000762939453
2016-10-27,23.165000915527344
2016-10-28,23.26000022888184
2016-10-31,23.11000061035156
2016-11-01,23.2549991607666
2016-11-02,23.34000015258789
2016-11-03,23.475000381469727
2016-11-04,23.77499961853028
2016-11-07,23.790000915527344
2016-11-08,23.70499992370605
2016-11-09,24.59499931335449
2016-11-10,25.729999542236328
2016-11-11,26.059999465942383
2016-11-14,26.475000381469727
2016-11-15,25.924999237060547
2016-11-16,25.95499992370605
2016-11-17,26.809999465942383
2016-11-18,26.46999931335449
2016-11-21,26.78499984741211
2016-11-22,27.46500015258789
2016-11-23,27.434999465942383
2016-11-25,27.334999084472656
2016-11-28,27.315000534057617
2016-11-29,27.34499931335449
2016-11-30,27.38999938964844
2016-12-01,27.38999938964844
2016-12-02,27.20499992370605
2016-12-05,27.549999237060547
2016-12-06,27.45499992370605
2016-12-07,28.145000457763672
2016-12-08,28.450000762939453
2016-12-09,27.9950008392334
