,TFC
2022-11-17,45.119998931884766
2022-11-18,45.65999984741211
2022-11-21,46.130001068115234
2022-11-22,46.41999816894531
2022-11-23,46.43000030517578
2022-11-25,46.91999816894531
2022-11-28,45.31999969482422
2022-11-29,45.90999984741211
2022-11-30,46.810001373291016
2022-12-01,46.220001220703125
2022-12-02,45.060001373291016
2022-12-05,42.59000015258789
2022-12-06,41.88999938964844
2022-12-07,41.84000015258789
2022-12-08,42.060001373291016
2022-12-09,42.08000183105469
2022-12-12,43.459999084472656
2022-12-13,43.18999862670898
2022-12-14,42.220001220703125
2022-12-15,41.4900016784668
2022-12-16,41.29999923706055
2022-12-19,41.119998931884766
2022-12-20,41.119998931884766
2022-12-21,41.75
2022-12-22,42.47999954223633
2022-12-23,42.59000015258789
2022-12-27,42.84000015258789
2022-12-28,42.54999923706055
2022-12-29,43.20000076293945
2022-12-30,43.02999877929688
2023-01-03,43.630001068115234
2023-01-04,44.84999847412109
2023-01-05,44.43999862670898
2023-01-06,45.86000061035156
2023-01-09,45.79999923706055
2023-01-10,46.0
2023-01-11,46.369998931884766
2023-01-12,47.18000030517578
2023-01-13,47.56999969482422
2023-01-17,47.150001525878906
2023-01-18,45.7400016784668
2023-01-19,47.709999084472656
2023-01-20,47.91999816894531
2023-01-23,48.84000015258789
2023-01-24,48.34000015258789
2023-01-25,48.77999877929688
2023-01-26,48.86000061035156
2023-01-27,48.84000015258789
2023-01-30,48.45000076293945
2023-01-31,49.38999938964844
2023-02-01,49.630001068115234
2023-02-02,50.38999938964844
2023-02-03,50.09000015258789
2023-02-06,49.59999847412109
2023-02-07,50.02999877929688
2023-02-08,49.2599983215332
2023-02-09,47.93000030517578
2023-02-10,48.380001068115234
2023-02-13,49.09999847412109
2023-02-14,48.81999969482422
2023-02-15,48.900001525878906
2023-02-16,47.959999084472656
2023-02-17,48.4900016784668
2023-02-21,47.13999938964844
2023-02-22,47.08000183105469
2023-02-23,46.68000030517578
2023-02-24,47.08000183105469
2023-02-27,47.13999938964844
2023-02-28,46.95000076293945
2023-03-01,46.70000076293945
2023-03-02,45.5
2023-03-03,46.2400016784668
2023-03-06,46.13999938964844
2023-03-07,44.08000183105469
2023-03-08,43.77000045776367
2023-03-09,41.619998931884766
2023-03-10,38.84000015258789
2023-03-13,32.2400016784668
2023-03-14,31.8799991607666
2023-03-15,32.099998474121094
2023-03-16,32.939998626708984
2023-03-17,30.559999465942383
2023-03-20,30.90999984741211
2023-03-21,33.70000076293945
2023-03-22,32.4900016784668
2023-03-23,32.56999969482422
2023-03-24,32.88999938964844
2023-03-27,33.08000183105469
2023-03-28,33.41999816894531
2023-03-29,34.470001220703125
2023-03-30,33.849998474121094
2023-03-31,34.099998474121094
2023-04-03,33.130001068115234
2023-04-04,31.950000762939453
2023-04-05,32.02000045776367
2023-04-06,32.7400016784668
2023-04-10,33.16999816894531
2023-04-11,33.70000076293945
2023-04-12,33.209999084472656
2023-04-13,33.84000015258789
2023-04-14,33.25
2023-04-17,34.2599983215332
2023-04-18,33.849998474121094
2023-04-19,34.790000915527344
2023-04-20,33.47999954223633
2023-04-21,31.46999931335449
2023-04-24,31.81999969482422
2023-04-25,30.43000030517578
2023-04-26,30.600000381469727
2023-04-27,31.3799991607666
2023-04-28,32.58000183105469
2023-05-01,31.520000457763672
2023-05-02,29.1200008392334
2023-05-03,28.1299991607666
2023-05-04,26.209999084472656
2023-05-05,28.690000534057617
2023-05-08,28.75
2023-05-09,28.600000381469727
2023-05-10,27.89999961853028
2023-05-11,26.82999992370605
2023-05-12,27.299999237060547
2023-05-15,27.8700008392334
2023-05-16,27.170000076293945
2023-05-17,28.920000076293945
2023-05-18,29.84000015258789
2023-05-19,29.700000762939453
2023-05-22,30.57999992370605
2023-05-23,30.75
2023-05-24,30.39999961853028
2023-05-25,30.530000686645508
2023-05-26,30.700000762939453
2023-05-30,31.09000015258789
2023-05-31,30.46999931335449
2023-06-01,30.959999084472656
2023-06-02,32.08000183105469
2023-06-05,31.739999771118164
2023-06-06,33.04999923706055
2023-06-07,33.47999954223633
2023-06-08,33.150001525878906
2023-06-09,32.630001068115234
2023-06-12,31.950000762939453
2023-06-13,32.400001525878906
2023-06-14,31.71999931335449
2023-06-15,32.220001220703125
2023-06-16,31.89999961853028
2023-06-20,31.350000381469727
2023-06-21,31.5
2023-06-22,30.61000061035156
2023-06-23,30.0
2023-06-26,30.09000015258789
2023-06-27,30.489999771118164
2023-06-28,30.46999931335449
2023-06-29,30.63999938964844
2023-06-30,30.350000381469727
2023-07-03,31.38999938964844
2023-07-05,30.989999771118164
2023-07-06,30.81999969482422
2023-07-07,31.8799991607666
2023-07-10,32.189998626708984
2023-07-11,32.47999954223633
2023-07-12,33.02000045776367
2023-07-13,33.619998931884766
2023-07-14,33.099998474121094
