,MPWR
2020-05-18,204.82000732421875
2020-05-19,201.8099975585937
2020-05-20,209.509994506836
2020-05-21,202.44000244140625
2020-05-22,202.17999267578125
2020-05-26,204.88999938964844
2020-05-27,209.759994506836
2020-05-28,205.1499938964844
2020-05-29,209.75
2020-06-01,213.38999938964844
2020-06-02,219.47000122070312
2020-06-03,227.41000366210932
2020-06-04,229.0800018310547
2020-06-05,235.1499938964844
2020-06-08,229.63999938964844
2020-06-09,226.5200042724609
2020-06-10,229.8500061035156
2020-06-11,211.0
2020-06-12,214.0
2020-06-15,219.82000732421875
2020-06-16,223.3999938964844
2020-06-17,225.3099975585937
2020-06-18,223.0
2020-06-19,221.83999633789065
2020-06-22,226.66000366210932
2020-06-23,226.44000244140625
2020-06-24,219.92999267578125
2020-06-25,228.5800018310547
2020-06-26,226.25
2020-06-29,229.9499969482422
2020-06-30,237.0
2020-07-01,235.5500030517578
2020-07-02,237.1300048828125
2020-07-06,242.13999938964844
2020-07-07,244.0
2020-07-08,247.52999877929688
2020-07-09,249.47999572753903
2020-07-10,247.91000366210932
2020-07-13,242.4199981689453
2020-07-14,249.5200042724609
2020-07-15,246.72000122070312
