,FDS
2019-04-05,252.8500061035156
2019-04-08,255.83999633789065
2019-04-09,254.9499969482422
2019-04-10,256.3599853515625
2019-04-11,256.2799987792969
2019-04-12,260.1300048828125
2019-04-15,261.7699890136719
2019-04-16,263.5199890136719
2019-04-17,258.3800048828125
2019-04-18,262.1199951171875
2019-04-22,261.0599975585937
2019-04-23,266.8099975585937
2019-04-24,265.7300109863281
2019-04-25,267.0899963378906
2019-04-26,271.1199951171875
2019-04-29,272.5899963378906
2019-04-30,275.8699951171875
2019-05-01,272.0199890136719
2019-05-02,274.5400085449219
2019-05-03,278.8399963378906
2019-05-06,283.8299865722656
2019-05-07,278.239990234375
2019-05-08,276.57000732421875
2019-05-09,278.4200134277344
2019-05-10,280.7900085449219
2019-05-13,272.239990234375
2019-05-14,276.82000732421875
2019-05-15,275.0
2019-05-16,278.5899963378906
2019-05-17,278.4200134277344
2019-05-20,276.8099975585937
2019-05-21,281.6099853515625
2019-05-22,280.5400085449219
2019-05-23,278.1000061035156
2019-05-24,280.1700134277344
2019-05-28,276.45001220703125
2019-05-29,278.0299987792969
2019-05-30,278.25
2019-05-31,278.20001220703125
2019-06-03,276.8900146484375
2019-06-04,284.9800109863281
2019-06-05,286.95001220703125
2019-06-06,289.7099914550781
2019-06-07,292.1600036621094
2019-06-10,297.0799865722656
2019-06-11,295.0
2019-06-12,301.489990234375
2019-06-13,296.8800048828125
2019-06-14,296.3299865722656
2019-06-17,295.6400146484375
2019-06-18,300.3999938964844
2019-06-19,302.04998779296875
2019-06-20,301.260009765625
2019-06-21,298.0799865722656
2019-06-24,293.3299865722656
2019-06-25,285.25
2019-06-26,289.3299865722656
2019-06-27,285.4100036621094
2019-06-28,286.5599975585937
2019-07-01,286.739990234375
2019-07-02,292.8299865722656
2019-07-03,296.0599975585937
2019-07-05,295.45001220703125
2019-07-08,289.7099914550781
2019-07-09,291.010009765625
2019-07-10,291.4800109863281
2019-07-11,294.4700012207031
2019-07-12,296.5199890136719
2019-07-15,294.32000732421875
2019-07-16,283.0599975585937
2019-07-17,282.7699890136719
2019-07-18,285.6000061035156
2019-07-19,279.8099975585937
2019-07-22,280.7900085449219
2019-07-23,277.9800109863281
2019-07-24,278.8699951171875
2019-07-25,277.8099975585937
2019-07-26,283.5599975585937
2019-07-29,282.0899963378906
2019-07-30,276.4200134277344
2019-07-31,277.29998779296875
2019-08-01,279.42999267578125
2019-08-02,278.5899963378906
2019-08-05,269.8699951171875
2019-08-06,274.8900146484375
2019-08-07,274.6600036621094
2019-08-08,281.5299987792969
2019-08-09,278.29998779296875
2019-08-12,273.95001220703125
2019-08-13,279.239990234375
2019-08-14,269.7099914550781
2019-08-15,272.1499938964844
2019-08-16,277.0299987792969
2019-08-19,277.42999267578125
2019-08-20,275.8699951171875
2019-08-21,277.6600036621094
2019-08-22,275.8099975585937
2019-08-23,269.6099853515625
2019-08-26,271.54998779296875
2019-08-27,273.7300109863281
2019-08-28,275.9599914550781
2019-08-29,270.8399963378906
2019-08-30,272.0899963378906
2019-09-03,270.32000732421875
2019-09-04,270.95001220703125
2019-09-05,273.8399963378906
2019-09-06,275.6199951171875
2019-09-09,268.7799987792969
2019-09-10,269.82000732421875
2019-09-11,273.9599914550781
2019-09-12,276.6499938964844
2019-09-13,277.4599914550781
2019-09-16,277.4100036621094
2019-09-17,281.07000732421875
2019-09-18,283.0
2019-09-19,285.010009765625
2019-09-20,282.2900085449219
2019-09-23,273.44000244140625
2019-09-24,268.32000732421875
2019-09-25,270.989990234375
2019-09-26,245.7100067138672
2019-09-27,242.1199951171875
2019-09-30,242.97000122070312
2019-10-01,240.07000732421875
2019-10-02,235.97999572753903
2019-10-03,238.19000244140625
2019-10-04,241.0399932861328
2019-10-07,239.44000244140625
2019-10-08,234.27999877929688
2019-10-09,240.9199981689453
2019-10-10,241.42999267578125
2019-10-11,245.3000030517578
2019-10-14,244.0200042724609
2019-10-15,246.1999969482422
2019-10-16,248.9499969482422
2019-10-17,251.7700042724609
2019-10-18,249.7400054931641
2019-10-21,250.009994506836
2019-10-22,250.63999938964844
2019-10-23,253.009994506836
2019-10-24,253.22000122070312
2019-10-25,254.07000732421875
2019-10-28,257.8900146484375
2019-10-29,256.3299865722656
2019-10-30,253.67999267578125
2019-10-31,253.5200042724609
2019-11-01,255.8699951171875
2019-11-04,255.52999877929688
2019-11-05,255.3000030517578
2019-11-06,256.9800109863281
2019-11-07,252.7899932861328
2019-11-08,246.72000122070312
2019-11-11,248.32000732421875
2019-11-12,250.8099975585937
2019-11-13,254.91000366210932
2019-11-14,259.9700012207031
2019-11-15,254.75
2019-11-18,252.83999633789065
2019-11-19,259.79998779296875
2019-11-20,261.8999938964844
2019-11-21,257.8900146484375
2019-11-22,260.1600036621094
2019-11-25,260.8900146484375
2019-11-26,262.0199890136719
2019-11-27,261.8500061035156
2019-11-29,259.6499938964844
2019-12-02,260.1400146484375
2019-12-03,259.8599853515625
2019-12-04,263.6000061035156
2019-12-05,263.7799987792969
2019-12-06,269.489990234375
2019-12-09,269.8500061035156
2019-12-10,270.3800048828125
2019-12-11,271.6000061035156
2019-12-12,270.0400085449219
2019-12-13,271.2799987792969
2019-12-16,271.6000061035156
2019-12-17,268.5899963378906
2019-12-18,269.1000061035156
2019-12-19,269.82000732421875
2019-12-20,265.0
2019-12-23,267.739990234375
2019-12-24,267.0599975585937
2019-12-26,268.94000244140625
2019-12-27,271.1000061035156
2019-12-30,267.69000244140625
2019-12-31,268.29998779296875
2020-01-02,268.7300109863281
2020-01-03,268.6700134277344
2020-01-06,267.1600036621094
2020-01-07,267.0299987792969
2020-01-08,269.0899963378906
2020-01-09,268.7900085449219
2020-01-10,264.8800048828125
2020-01-13,266.989990234375
2020-01-14,268.17999267578125
2020-01-15,271.510009765625
2020-01-16,276.3900146484375
2020-01-17,275.7200012207031
2020-01-21,276.79998779296875
2020-01-22,279.239990234375
2020-01-23,280.1099853515625
2020-01-24,276.5599975585937
2020-01-27,274.2699890136719
2020-01-28,278.44000244140625
2020-01-29,287.6000061035156
2020-01-30,290.4700012207031
2020-01-31,286.1099853515625
2020-02-03,289.9800109863281
2020-02-04,295.07000732421875
2020-02-05,290.1099853515625
2020-02-06,289.9200134277344
2020-02-07,286.4100036621094
2020-02-10,290.07000732421875
2020-02-11,292.29998779296875
2020-02-12,293.260009765625
2020-02-13,296.8299865722656
2020-02-14,299.5400085449219
2020-02-18,302.92999267578125
2020-02-19,308.6600036621094
2020-02-20,302.6499938964844
2020-02-21,299.5899963378906
2020-02-24,295.0599975585937
2020-02-25,288.0599975585937
2020-02-26,289.9200134277344
2020-02-27,278.5199890136719
2020-02-28,265.989990234375
2020-03-02,281.2699890136719
2020-03-03,278.8500061035156
2020-03-04,293.8599853515625
2020-03-05,288.8500061035156
2020-03-06,279.0799865722656
2020-03-09,261.8599853515625
2020-03-10,270.6199951171875
2020-03-11,254.92999267578125
2020-03-12,233.4199981689453
2020-03-13,253.07000732421875
2020-03-16,226.1199951171875
2020-03-17,246.8000030517578
2020-03-18,219.3999938964844
2020-03-19,235.0399932861328
2020-03-20,217.97999572753903
2020-03-23,204.5500030517578
2020-03-24,231.3600006103516
2020-03-25,232.72999572753903
2020-03-26,257.5599975585937
