,FIX
2019-09-10,41.02999877929688
2019-09-11,41.869998931884766
2019-09-12,40.40999984741211
2019-09-13,42.31999969482422
2019-09-16,42.900001525878906
2019-09-17,42.59000015258789
2019-09-18,42.5099983215332
2019-09-19,43.04999923706055
2019-09-20,42.630001068115234
2019-09-23,42.93000030517578
2019-09-24,43.150001525878906
2019-09-25,43.650001525878906
2019-09-26,44.02000045776367
2019-09-27,44.16999816894531
2019-09-30,44.22999954223633
2019-10-01,43.4900016784668
2019-10-02,42.869998931884766
2019-10-03,43.13999938964844
2019-10-04,43.18000030517578
2019-10-07,42.630001068115234
2019-10-08,41.7400016784668
2019-10-09,41.81999969482422
2019-10-10,42.88999938964844
2019-10-11,43.4900016784668
2019-10-14,43.04999923706055
2019-10-15,43.31999969482422
2019-10-16,43.310001373291016
2019-10-17,44.16999816894531
2019-10-18,45.150001525878906
2019-10-21,45.41999816894531
2019-10-22,46.11000061035156
2019-10-23,46.84999847412109
2019-10-24,47.08000183105469
2019-10-25,51.56999969482422
2019-10-28,50.790000915527344
2019-10-29,51.52000045776367
2019-10-30,50.9900016784668
2019-10-31,50.40999984741211
2019-11-01,51.68000030517578
2019-11-04,52.29999923706055
2019-11-05,51.31999969482422
2019-11-06,50.97999954223633
2019-11-07,51.02999877929688
2019-11-08,50.88999938964844
2019-11-11,51.08000183105469
2019-11-12,50.34999847412109
2019-11-13,50.209999084472656
2019-11-14,50.59000015258789
2019-11-15,50.560001373291016
2019-11-18,50.5099983215332
2019-11-19,50.400001525878906
2019-11-20,51.09000015258789
2019-11-21,50.04999923706055
2019-11-22,50.400001525878906
2019-11-25,51.33000183105469
2019-11-26,51.0
2019-11-27,51.220001220703125
2019-11-29,51.09999847412109
2019-12-02,50.36000061035156
2019-12-03,49.5099983215332
2019-12-04,49.31999969482422
2019-12-05,49.34999847412109
2019-12-06,49.650001525878906
2019-12-09,49.56999969482422
2019-12-10,48.88999938964844
2019-12-11,48.77000045776367
2019-12-12,49.83000183105469
2019-12-13,49.630001068115234
2019-12-16,50.060001373291016
