,EG
2016-05-09,180.75
2016-05-10,183.259994506836
2016-05-11,182.5800018310547
2016-05-12,184.0800018310547
2016-05-13,183.38999938964844
2016-05-16,184.2700042724609
2016-05-17,182.1499938964844
2016-05-18,181.94000244140625
2016-05-19,179.88999938964844
2016-05-20,180.05999755859375
2016-05-23,178.24000549316406
2016-05-24,179.60000610351562
2016-05-25,179.08999633789062
2016-05-26,179.0800018310547
2016-05-27,178.52999877929688
2016-05-31,179.11000061035156
2016-06-01,178.99000549316406
2016-06-02,177.85000610351562
2016-06-03,177.86000061035156
2016-06-06,177.63999938964844
2016-06-07,176.30999755859375
2016-06-08,180.13999938964844
2016-06-09,180.4199981689453
2016-06-10,179.11000061035156
2016-06-13,175.66000366210938
2016-06-14,173.66000366210938
2016-06-15,171.72999572753906
2016-06-16,172.9199981689453
2016-06-17,175.38999938964844
2016-06-20,175.08999633789062
2016-06-21,175.33999633789062
2016-06-22,175.5399932861328
2016-06-23,177.4199981689453
2016-06-24,172.50999450683594
2016-06-27,169.2100067138672
2016-06-28,174.00999450683594
2016-06-29,173.8800048828125
2016-06-30,182.6699981689453
2016-07-01,181.5200042724609
2016-07-05,179.66000366210938
2016-07-06,180.7700042724609
2016-07-07,180.8699951171875
2016-07-08,181.72000122070312
2016-07-11,181.1999969482422
2016-07-12,182.1999969482422
2016-07-13,181.27999877929688
2016-07-14,180.9600067138672
2016-07-15,179.75999450683594
2016-07-18,177.74000549316406
2016-07-19,179.1199951171875
2016-07-20,179.6199951171875
2016-07-21,178.5800018310547
2016-07-22,181.259994506836
2016-07-25,181.44000244140625
2016-07-26,184.77999877929688
2016-07-27,186.0
2016-07-28,189.02999877929688
2016-07-29,189.009994506836
2016-08-01,189.66000366210932
2016-08-02,189.9199981689453
2016-08-03,190.3500061035156
2016-08-04,190.2700042724609
2016-08-05,190.8999938964844
2016-08-08,190.5800018310547
2016-08-09,190.97000122070312
2016-08-10,191.1300048828125
2016-08-11,189.47000122070312
2016-08-12,189.8000030517578
2016-08-15,190.1300048828125
2016-08-16,189.66000366210932
2016-08-17,188.63999938964844
2016-08-18,189.27999877929688
2016-08-19,188.9199981689453
2016-08-22,189.1499938964844
2016-08-23,188.22000122070312
2016-08-24,189.33999633789065
2016-08-25,190.08999633789065
2016-08-26,190.0800018310547
2016-08-29,191.3500061035156
2016-08-30,192.83999633789065
2016-08-31,193.3800048828125
2016-09-01,192.6000061035156
2016-09-02,192.6300048828125
2016-09-06,192.7700042724609
2016-09-07,195.0800018310547
2016-09-08,193.2400054931641
2016-09-09,189.3099975585937
2016-09-12,190.91000366210932
2016-09-13,190.1000061035156
2016-09-14,188.8999938964844
2016-09-15,190.4900054931641
2016-09-16,188.2100067138672
2016-09-19,190.42999267578125
2016-09-20,191.2899932861328
2016-09-21,193.69000244140625
2016-09-22,195.1499938964844
2016-09-23,192.2700042724609
2016-09-26,191.47999572753903
2016-09-27,191.6000061035156
2016-09-28,193.1300048828125
2016-09-29,190.3999938964844
2016-09-30,189.97000122070312
2016-10-03,188.1499938964844
2016-10-04,190.1199951171875
2016-10-05,185.6300048828125
2016-10-06,184.2400054931641
2016-10-07,189.8099975585937
2016-10-10,191.41000366210932
2016-10-11,190.1999969482422
2016-10-12,191.82000732421875
2016-10-13,193.3800048828125
2016-10-14,194.4600067138672
2016-10-17,195.5599975585937
2016-10-18,195.33999633789065
2016-10-19,195.6199951171875
2016-10-20,192.6000061035156
2016-10-21,192.9199981689453
2016-10-24,194.13999938964844
2016-10-25,201.72999572753903
2016-10-26,203.58999633789065
2016-10-27,201.27999877929688
2016-10-28,201.0800018310547
2016-10-31,203.5200042724609
2016-11-01,203.83999633789065
2016-11-02,204.6699981689453
2016-11-03,205.759994506836
2016-11-04,205.4499969482422
2016-11-07,207.1000061035156
2016-11-08,207.92999267578125
2016-11-09,207.8800048828125
2016-11-10,209.509994506836
2016-11-11,211.52999877929688
2016-11-14,212.07000732421875
2016-11-15,212.07000732421875
2016-11-16,213.07000732421875
2016-11-17,212.8600006103516
2016-11-18,211.47999572753903
2016-11-21,210.8800048828125
2016-11-22,208.5
2016-11-23,209.6699981689453
2016-11-25,209.1499938964844
2016-11-28,208.66000366210932
2016-11-29,211.91000366210932
2016-11-30,210.5500030517578
2016-12-01,210.6100006103516
2016-12-02,209.9499969482422
2016-12-05,209.57000732421875
2016-12-06,210.8300018310547
2016-12-07,211.67999267578125
2016-12-08,213.3000030517578
2016-12-09,214.3699951171875
2016-12-12,217.3500061035156
2016-12-13,216.82000732421875
2016-12-14,216.6499938964844
2016-12-15,213.4499969482422
2016-12-16,214.3000030517578
2016-12-19,218.3800048828125
2016-12-20,217.0599975585937
2016-12-21,216.47999572753903
2016-12-22,217.22999572753903
2016-12-23,217.4600067138672
2016-12-27,217.41000366210932
2016-12-28,215.5800018310547
2016-12-29,216.1199951171875
2016-12-30,216.3999938964844
2017-01-03,216.0399932861328
2017-01-04,217.8000030517578
2017-01-05,217.77999877929688
2017-01-06,218.82000732421875
2017-01-09,216.97000122070312
2017-01-10,219.4199981689453
2017-01-11,220.08999633789065
2017-01-12,219.77999877929688
2017-01-13,219.25
2017-01-17,217.8699951171875
2017-01-18,221.17999267578125
2017-01-19,219.38999938964844
2017-01-20,218.6199951171875
2017-01-23,219.1499938964844
2017-01-24,218.3800048828125
2017-01-25,219.8999938964844
2017-01-26,221.8600006103516
2017-01-27,221.1199951171875
2017-01-30,220.44000244140625
2017-01-31,219.92999267578125
2017-02-01,219.5
2017-02-02,222.19000244140625
2017-02-03,221.6100006103516
2017-02-06,222.1000061035156
2017-02-07,227.8500061035156
2017-02-08,229.4600067138672
2017-02-09,229.7899932861328
2017-02-10,230.7100067138672
2017-02-13,233.0800018310547
2017-02-14,233.57000732421875
2017-02-15,234.1100006103516
2017-02-16,235.509994506836
2017-02-17,235.1199951171875
2017-02-21,233.94000244140625
2017-02-22,234.91000366210932
2017-02-23,235.3800048828125
2017-02-24,235.02999877929688
2017-02-27,233.02999877929688
2017-02-28,235.13999938964844
2017-03-01,239.1499938964844
2017-03-02,237.17999267578125
2017-03-03,235.6199951171875
2017-03-06,232.66000366210932
2017-03-07,231.42999267578125
2017-03-08,233.0500030517578
2017-03-09,232.7400054931641
2017-03-10,234.9900054931641
2017-03-13,235.0
2017-03-14,234.7100067138672
2017-03-15,236.27999877929688
2017-03-16,235.6699981689453
2017-03-17,235.9900054931641
2017-03-20,235.1699981689453
2017-03-21,233.47000122070312
2017-03-22,234.42999267578125
2017-03-23,234.0399932861328
2017-03-24,233.3999938964844
2017-03-27,231.7700042724609
2017-03-28,233.8099975585937
2017-03-29,233.42999267578125
2017-03-30,234.88999938964844
2017-03-31,233.8099975585937
2017-04-03,233.8000030517578
2017-04-04,236.1100006103516
2017-04-05,233.8000030517578
2017-04-06,233.63999938964844
2017-04-07,232.6199951171875
2017-04-10,233.66000366210932
2017-04-11,234.3500061035156
2017-04-12,233.3500061035156
2017-04-13,230.6300048828125
2017-04-17,234.5599975585937
2017-04-18,233.91000366210932
2017-04-19,233.2100067138672
2017-04-20,234.9499969482422
2017-04-21,233.72999572753903
2017-04-24,239.3800048828125
2017-04-25,251.9199981689453
2017-04-26,256.9100036621094
2017-04-27,253.91000366210932
2017-04-28,251.7100067138672
2017-05-01,250.3300018310547
2017-05-02,247.9900054931641
2017-05-03,248.67999267578125
2017-05-04,248.3800048828125
2017-05-05,246.4199981689453
2017-05-08,246.19000244140625
2017-05-09,243.0599975585937
2017-05-10,244.0
2017-05-11,244.4199981689453
2017-05-12,243.9499969482422
2017-05-15,244.6999969482422
2017-05-16,244.5399932861328
2017-05-17,241.6499938964844
2017-05-18,243.8500061035156
2017-05-19,243.94000244140625
2017-05-22,243.97000122070312
2017-05-23,246.2700042724609
2017-05-24,247.6000061035156
2017-05-25,249.009994506836
2017-05-26,248.66000366210932
2017-05-30,248.2700042724609
2017-05-31,254.6499938964844
2017-06-01,255.6000061035156
2017-06-02,255.52999877929688
2017-06-05,254.0800018310547
2017-06-06,252.0800018310547
2017-06-07,252.42999267578125
2017-06-08,253.1699981689453
2017-06-09,255.57000732421875
2017-06-12,258.1199951171875
2017-06-13,255.259994506836
2017-06-14,252.3800048828125
2017-06-15,252.08999633789065
2017-06-16,255.58999633789065
2017-06-19,257.32000732421875
2017-06-20,254.8600006103516
2017-06-21,256.5799865722656
2017-06-22,256.739990234375
2017-06-23,253.97999572753903
2017-06-26,254.1499938964844
2017-06-27,253.41000366210932
2017-06-28,255.07000732421875
2017-06-29,255.16000366210932
2017-06-30,254.58999633789065
2017-07-03,263.95001220703125
2017-07-05,262.75
2017-07-06,261.32000732421875
2017-07-07,263.2099914550781
2017-07-10,265.5799865722656
2017-07-11,262.239990234375
2017-07-12,262.7200012207031
2017-07-13,263.8299865722656
2017-07-14,263.75
2017-07-17,264.8599853515625
2017-07-18,267.3299865722656
2017-07-19,269.0400085449219
2017-07-20,269.1099853515625
2017-07-21,270.1199951171875
2017-07-24,271.1199951171875
2017-07-25,266.7300109863281
2017-07-26,260.0199890136719
2017-07-27,259.5299987792969
2017-07-28,259.8599853515625
2017-07-31,262.3900146484375
2017-08-01,263.989990234375
2017-08-02,265.3399963378906
2017-08-03,266.0599975585937
2017-08-04,265.6700134277344
2017-08-07,265.5899963378906
2017-08-08,266.19000244140625
2017-08-09,268.7200012207031
2017-08-10,269.29998779296875
2017-08-11,265.07000732421875
2017-08-14,268.94000244140625
2017-08-15,267.4100036621094
2017-08-16,266.9100036621094
2017-08-17,262.5
2017-08-18,263.0199890136719
2017-08-21,262.4700012207031
2017-08-22,263.67999267578125
2017-08-23,262.7900085449219
2017-08-24,257.6099853515625
2017-08-25,260.239990234375
2017-08-28,252.88999938964844
2017-08-29,252.4900054931641
2017-08-30,251.75
2017-08-31,252.47999572753903
2017-09-01,248.3800048828125
2017-09-05,231.19000244140625
2017-09-06,227.3800048828125
2017-09-07,211.94000244140625
2017-09-08,222.47999572753903
2017-09-11,231.9600067138672
2017-09-12,233.25
2017-09-13,233.32000732421875
2017-09-14,229.2899932861328
2017-09-15,231.66000366210932
2017-09-18,226.6699981689453
2017-09-19,225.8800048828125
2017-09-20,224.82000732421875
2017-09-21,227.3000030517578
2017-09-22,226.259994506836
2017-09-25,223.94000244140625
2017-09-26,220.2700042724609
2017-09-27,221.0800018310547
2017-09-28,222.8800048828125
2017-09-29,228.38999938964844
2017-10-02,229.27999877929688
2017-10-03,229.32000732421875
2017-10-04,227.6999969482422
2017-10-05,226.75
2017-10-06,225.009994506836
2017-10-09,226.0200042724609
2017-10-10,224.7700042724609
2017-10-11,222.509994506836
2017-10-12,226.8099975585937
2017-10-13,240.509994506836
2017-10-16,238.1199951171875
2017-10-17,236.3999938964844
2017-10-18,235.0
2017-10-19,237.25
2017-10-20,236.6699981689453
2017-10-23,235.8500061035156
2017-10-24,234.27999877929688
2017-10-25,232.94000244140625
2017-10-26,234.9499969482422
2017-10-27,236.9499969482422
2017-10-30,239.1199951171875
2017-10-31,237.4499969482422
2017-11-01,234.7899932861328
2017-11-02,227.44000244140625
2017-11-03,227.83999633789065
2017-11-06,228.4600067138672
2017-11-07,227.02999877929688
2017-11-08,228.3600006103516
2017-11-09,230.7899932861328
2017-11-10,231.13999938964844
2017-11-13,228.5500030517578
2017-11-14,226.1300048828125
2017-11-15,229.2700042724609
2017-11-16,225.47000122070312
2017-11-17,226.32000732421875
2017-11-20,223.83999633789065
2017-11-21,222.25
2017-11-22,219.2400054931641
2017-11-24,217.6699981689453
2017-11-27,223.07000732421875
2017-11-28,225.009994506836
2017-11-29,222.7400054931641
2017-11-30,219.6000061035156
2017-12-01,218.0599975585937
2017-12-04,213.5599975585937
2017-12-05,212.1499938964844
2017-12-06,211.0599975585937
2017-12-07,210.3600006103516
2017-12-08,212.27999877929688
2017-12-11,217.47000122070312
2017-12-12,219.82000732421875
2017-12-13,216.9199981689453
2017-12-14,217.6999969482422
2017-12-15,222.1100006103516
2017-12-18,219.22000122070312
2017-12-19,218.8800048828125
2017-12-20,216.509994506836
2017-12-21,218.44000244140625
2017-12-22,218.9499969482422
2017-12-26,219.72999572753903
2017-12-27,219.97999572753903
2017-12-28,222.57000732421875
2017-12-29,221.259994506836
2018-01-02,216.47000122070312
2018-01-03,219.7700042724609
2018-01-04,221.7700042724609
2018-01-05,222.3500061035156
2018-01-08,218.75
2018-01-09,216.9499969482422
2018-01-10,219.97000122070312
2018-01-11,222.8099975585937
2018-01-12,224.1999969482422
2018-01-16,222.75
2018-01-17,226.0
2018-01-18,223.2400054931641
2018-01-19,224.6000061035156
2018-01-22,230.5
2018-01-23,231.63999938964844
2018-01-24,231.9600067138672
2018-01-25,230.92999267578125
2018-01-26,229.25
2018-01-29,228.82000732421875
2018-01-30,227.4499969482422
2018-01-31,229.8000030517578
2018-02-01,230.13999938964844
2018-02-02,229.6100006103516
2018-02-05,225.42999267578125
2018-02-06,242.32000732421875
2018-02-07,246.6999969482422
2018-02-08,241.0599975585937
2018-02-09,239.7700042724609
2018-02-12,239.47999572753903
2018-02-13,238.17999267578125
2018-02-14,242.58999633789065
2018-02-15,242.38999938964844
2018-02-16,243.259994506836
2018-02-20,243.259994506836
2018-02-21,239.94000244140625
2018-02-22,239.3999938964844
2018-02-23,242.94000244140625
2018-02-26,241.6300048828125
2018-02-27,243.17999267578125
2018-02-28,240.2400054931641
2018-03-01,238.3800048828125
2018-03-02,239.0
2018-03-05,254.3500061035156
2018-03-06,254.6999969482422
2018-03-07,255.57000732421875
2018-03-08,257.3099975585937
2018-03-09,262.6199951171875
2018-03-12,261.3900146484375
2018-03-13,261.7699890136719
2018-03-14,260.3699951171875
2018-03-15,259.3699951171875
2018-03-16,261.3999938964844
2018-03-19,262.6700134277344
2018-03-20,260.260009765625
2018-03-21,259.5899963378906
2018-03-22,253.2899932861328
2018-03-23,248.6300048828125
2018-03-26,252.4499969482422
2018-03-27,250.6999969482422
2018-03-28,258.3299865722656
2018-03-29,256.82000732421875
2018-04-02,254.4199981689453
2018-04-03,257.0400085449219
2018-04-04,258.2699890136719
2018-04-05,256.3900146484375
2018-04-06,254.25
2018-04-09,257.8399963378906
2018-04-10,256.20001220703125
2018-04-11,260.0
2018-04-12,250.6499938964844
2018-04-13,249.19000244140625
2018-04-16,250.9199981689453
2018-04-17,247.42999267578125
2018-04-18,243.8699951171875
2018-04-19,242.3500061035156
2018-04-20,246.9900054931641
2018-04-23,245.3600006103516
2018-04-24,244.6499938964844
2018-04-25,240.44000244140625
2018-04-26,231.91000366210932
2018-04-27,236.72000122070312
2018-04-30,232.6699981689453
2018-05-01,232.8999938964844
2018-05-02,228.1699981689453
2018-05-03,226.1499938964844
2018-05-04,227.5200042724609
2018-05-07,226.5399932861328
2018-05-08,227.1699981689453
2018-05-09,227.9499969482422
2018-05-10,228.19000244140625
2018-05-11,228.2899932861328
2018-05-14,226.91000366210932
2018-05-15,228.0200042724609
2018-05-16,229.07000732421875
2018-05-17,227.8000030517578
2018-05-18,226.5399932861328
2018-05-21,228.9199981689453
2018-05-22,229.0399932861328
2018-05-23,226.5399932861328
2018-05-24,226.52999877929688
2018-05-25,227.44000244140625
2018-05-29,224.72000122070312
2018-05-30,225.509994506836
2018-05-31,225.2899932861328
2018-06-01,225.9199981689453
2018-06-04,226.67999267578125
2018-06-05,226.5200042724609
2018-06-06,228.1000061035156
2018-06-07,230.0800018310547
2018-06-08,230.32000732421875
2018-06-11,228.47999572753903
2018-06-12,227.2899932861328
2018-06-13,227.33999633789065
2018-06-14,226.0
2018-06-15,226.6000061035156
2018-06-18,226.75
2018-06-19,229.22999572753903
2018-06-20,230.1300048828125
2018-06-21,228.6699981689453
2018-06-22,230.0
2018-06-25,232.6699981689453
2018-06-26,229.8999938964844
2018-06-27,228.72000122070312
2018-06-28,231.47999572753903
2018-06-29,230.47999572753903
2018-07-02,227.16000366210932
2018-07-03,226.38999938964844
2018-07-05,230.63999938964844
2018-07-06,230.4600067138672
2018-07-09,235.009994506836
2018-07-10,234.22000122070312
2018-07-11,233.75
2018-07-12,232.8500061035156
2018-07-13,231.5500030517578
2018-07-16,235.17999267578125
2018-07-17,235.1100006103516
2018-07-18,236.32000732421875
2018-07-19,234.3000030517578
2018-07-20,224.82000732421875
2018-07-23,225.259994506836
2018-07-24,223.47999572753903
2018-07-25,223.6199951171875
2018-07-26,227.25
2018-07-27,226.19000244140625
2018-07-30,223.7400054931641
2018-07-31,218.3500061035156
2018-08-01,219.8699951171875
2018-08-02,219.97000122070312
2018-08-03,220.69000244140625
2018-08-06,218.8999938964844
2018-08-07,218.3600006103516
2018-08-08,217.13999938964844
2018-08-09,215.2100067138672
2018-08-10,215.1699981689453
2018-08-13,214.9199981689453
2018-08-14,214.66000366210932
2018-08-15,216.2100067138672
2018-08-16,217.509994506836
2018-08-17,218.3999938964844
2018-08-20,220.3999938964844
2018-08-21,220.27999877929688
2018-08-22,219.9900054931641
2018-08-23,220.08999633789065
2018-08-24,220.8500061035156
2018-08-27,222.4900054931641
2018-08-28,222.4499969482422
2018-08-29,222.8600006103516
2018-08-30,222.4199981689453
2018-08-31,223.0200042724609
2018-09-04,221.5599975585937
2018-09-05,221.1000061035156
2018-09-06,219.3099975585937
2018-09-07,215.4900054931641
2018-09-10,209.83999633789065
2018-09-11,210.509994506836
2018-09-12,214.009994506836
2018-09-13,220.69000244140625
2018-09-14,223.3800048828125
2018-09-17,223.259994506836
2018-09-18,225.72999572753903
2018-09-19,229.5599975585937
2018-09-20,231.6999969482422
2018-09-21,233.1300048828125
2018-09-24,228.75
2018-09-25,229.0599975585937
2018-09-26,227.7899932861328
2018-09-27,228.19000244140625
2018-09-28,228.47000122070312
2018-10-01,224.3800048828125
2018-10-02,227.1199951171875
2018-10-03,225.9600067138672
2018-10-04,226.8800048828125
2018-10-05,226.9600067138672
2018-10-08,227.1999969482422
2018-10-09,229.509994506836
2018-10-10,217.72999572753903
2018-10-11,215.0
2018-10-12,212.9900054931641
2018-10-15,214.5200042724609
2018-10-16,215.3999938964844
2018-10-17,216.009994506836
2018-10-18,211.1199951171875
2018-10-19,216.17999267578125
2018-10-22,212.6300048828125
2018-10-23,209.9499969482422
2018-10-24,205.0800018310547
2018-10-25,207.5500030517578
2018-10-26,205.02999877929688
2018-10-29,206.4600067138672
2018-10-30,219.4900054931641
2018-10-31,217.8600006103516
2018-11-01,219.7700042724609
2018-11-02,219.3099975585937
2018-11-05,221.3500061035156
2018-11-06,223.509994506836
2018-11-07,224.0599975585937
2018-11-08,222.57000732421875
2018-11-09,221.22000122070312
2018-11-12,213.8300018310547
2018-11-13,214.1999969482422
2018-11-14,212.16000366210932
2018-11-15,214.5
2018-11-16,216.42999267578125
2018-11-19,215.8099975585937
2018-11-20,215.5
2018-11-21,214.5
2018-11-23,214.2400054931641
2018-11-26,217.1999969482422
2018-11-27,214.5800018310547
2018-11-28,216.5599975585937
2018-11-29,220.1199951171875
