,ODFL
2017-09-11,33.9900016784668
2017-09-12,33.939998626708984
2017-09-13,33.540000915527344
2017-09-14,33.32666778564453
2017-09-15,33.44333267211914
2017-09-18,33.82666778564453
2017-09-19,34.150001525878906
2017-09-20,34.63666534423828
2017-09-21,34.79666519165039
2017-09-22,35.26666641235352
2017-09-25,35.5966682434082
2017-09-26,35.849998474121094
2017-09-27,36.27999877929688
2017-09-28,36.25
2017-09-29,36.70333480834961
2017-10-02,36.55666732788086
2017-10-03,36.33000183105469
2017-10-04,36.01333236694336
2017-10-05,35.996665954589844
2017-10-06,36.2599983215332
2017-10-09,36.26666641235352
2017-10-10,36.12333297729492
2017-10-11,36.13666534423828
2017-10-12,36.470001220703125
2017-10-13,35.82666778564453
2017-10-16,36.08333206176758
2017-10-17,35.983333587646484
2017-10-18,36.54999923706055
2017-10-19,36.87666702270508
2017-10-20,37.5
2017-10-23,37.26666641235352
2017-10-24,37.436668395996094
2017-10-25,37.0099983215332
2017-10-26,39.07666778564453
2017-10-27,41.27999877929688
2017-10-30,40.20333480834961
2017-10-31,40.37666702270508
2017-11-01,39.9900016784668
2017-11-02,40.47666549682617
2017-11-03,40.34333419799805
2017-11-06,40.21333312988281
2017-11-07,40.40666580200195
2017-11-08,40.31666564941406
2017-11-09,39.70333480834961
2017-11-10,39.633331298828125
2017-11-13,39.413333892822266
2017-11-14,39.676666259765625
2017-11-15,39.106666564941406
2017-11-16,39.6966667175293
2017-11-17,39.65666580200195
2017-11-20,40.143333435058594
2017-11-21,41.073333740234375
2017-11-22,41.08666610717773
2017-11-24,41.02000045776367
2017-11-27,41.11333465576172
2017-11-28,41.62333297729492
2017-11-29,42.34999847412109
2017-11-30,43.08000183105469
2017-12-01,42.470001220703125
2017-12-04,42.58000183105469
2017-12-05,42.43333435058594
2017-12-06,42.86333465576172
2017-12-07,43.209999084472656
2017-12-08,43.5
2017-12-11,42.869998931884766
2017-12-12,43.02333450317383
2017-12-13,43.0
2017-12-14,42.70333480834961
2017-12-15,43.143333435058594
2017-12-18,43.10333251953125
2017-12-19,43.2599983215332
2017-12-20,43.11333465576172
2017-12-21,43.18999862670898
2017-12-22,44.22666549682617
2017-12-26,44.20000076293945
2017-12-27,44.53666687011719
2017-12-28,44.26333236694336
2017-12-29,43.84999847412109
2018-01-02,44.81333160400391
2018-01-03,44.86000061035156
2018-01-04,45.12333297729492
2018-01-05,45.53333282470703
2018-01-08,45.98666763305664
2018-01-09,46.4900016784668
2018-01-10,45.96333312988281
2018-01-11,46.93333435058594
2018-01-12,47.526668548583984
2018-01-16,47.393333435058594
2018-01-17,48.20000076293945
2018-01-18,48.62666702270508
2018-01-19,49.323333740234375
2018-01-22,49.70000076293945
2018-01-23,49.74333190917969
2018-01-24,49.43333435058594
2018-01-25,49.5533332824707
2018-01-26,49.973331451416016
2018-01-29,49.323333740234375
2018-01-30,48.93333435058594
2018-01-31,48.81666564941406
2018-02-01,49.08333206176758
2018-02-02,48.36333465576172
2018-02-05,46.41999816894531
2018-02-06,46.79666519165039
2018-02-07,47.33666610717773
2018-02-08,43.9033317565918
2018-02-09,43.380001068115234
2018-02-12,44.02000045776367
2018-02-13,45.20000076293945
2018-02-14,46.17333221435547
2018-02-15,45.48333358764648
2018-02-16,45.54666519165039
2018-02-20,45.07666778564453
2018-02-21,45.53333282470703
2018-02-22,46.37666702270508
2018-02-23,46.50333404541016
2018-02-26,46.93333435058594
2018-02-27,46.27999877929688
2018-02-28,46.30666732788086
2018-03-01,45.94333267211914
2018-03-02,46.26333236694336
2018-03-05,46.09999847412109
2018-03-06,46.4900016784668
2018-03-07,47.34333419799805
2018-03-08,47.50333404541016
2018-03-09,49.1966667175293
2018-03-12,49.29666519165039
2018-03-13,49.48333358764648
2018-03-14,48.650001525878906
2018-03-15,49.040000915527344
2018-03-16,49.026668548583984
2018-03-19,49.290000915527344
2018-03-20,49.98666763305664
2018-03-21,50.18999862670898
2018-03-22,48.880001068115234
2018-03-23,47.913333892822266
2018-03-26,49.21666717529297
2018-03-27,47.58333206176758
2018-03-28,47.369998931884766
2018-03-29,48.9900016784668
2018-04-02,47.18999862670898
2018-04-03,48.18333435058594
2018-04-04,48.75666809082031
2018-04-05,48.3466682434082
2018-04-06,46.9466667175293
2018-04-09,46.723331451416016
2018-04-10,47.52333450317383
2018-04-11,47.633331298828125
2018-04-12,48.46333312988281
2018-04-13,48.01666641235352
2018-04-16,49.22666549682617
2018-04-17,49.856666564941406
2018-04-18,50.33000183105469
2018-04-19,49.96333312988281
2018-04-20,49.50333404541016
2018-04-23,49.49333190917969
2018-04-24,47.45333480834961
2018-04-25,47.27000045776367
2018-04-26,44.310001373291016
2018-04-27,44.663333892822266
2018-04-30,44.619998931884766
2018-05-01,43.91666793823242
2018-05-02,44.3466682434082
2018-05-03,44.38999938964844
2018-05-04,44.77000045776367
2018-05-07,45.97666549682617
2018-05-08,47.13999938964844
2018-05-09,48.25666809082031
2018-05-10,48.356666564941406
2018-05-11,49.02999877929688
2018-05-14,48.7599983215332
2018-05-15,48.220001220703125
2018-05-16,48.54666519165039
