,ITW
2018-04-24,149.64999389648438
2018-04-25,151.60000610351562
2018-04-26,141.41000366210938
2018-04-27,142.57000732421875
2018-04-30,142.02000427246094
2018-05-01,144.0
2018-05-02,143.11000061035156
2018-05-03,144.2899932861328
2018-05-04,145.47000122070312
2018-05-07,144.7899932861328
2018-05-08,144.49000549316406
2018-05-09,146.47000122070312
2018-05-10,145.82000732421875
2018-05-11,145.7899932861328
2018-05-14,145.5
2018-05-15,145.9600067138672
2018-05-16,144.30999755859375
2018-05-17,145.77000427246094
2018-05-18,146.8000030517578
2018-05-21,149.72999572753906
2018-05-22,147.25999450683594
2018-05-23,148.05999755859375
2018-05-24,147.36000061035156
2018-05-25,147.42999267578125
2018-05-29,144.02000427246094
2018-05-30,145.72999572753906
2018-05-31,143.6999969482422
2018-06-01,146.9600067138672
2018-06-04,146.1999969482422
2018-06-05,145.63999938964844
2018-06-06,147.17999267578125
2018-06-07,148.22000122070312
2018-06-08,147.75999450683594
2018-06-11,149.17999267578125
2018-06-12,149.94000244140625
2018-06-13,148.69000244140625
2018-06-14,148.88999938964844
2018-06-15,148.64999389648438
2018-06-18,145.72000122070312
2018-06-19,143.11000061035156
2018-06-20,142.97000122070312
2018-06-21,140.75999450683594
2018-06-22,141.4600067138672
2018-06-25,140.9600067138672
2018-06-26,140.9499969482422
2018-06-27,141.0
2018-06-28,138.55999755859375
2018-06-29,138.5399932861328
2018-07-02,138.61000061035156
2018-07-03,139.22999572753906
2018-07-05,140.8800048828125
2018-07-06,139.63999938964844
2018-07-09,143.6999969482422
2018-07-10,144.05999755859375
2018-07-11,141.61000061035156
2018-07-12,142.47000122070312
2018-07-13,143.75
2018-07-16,141.82000732421875
2018-07-17,143.1999969482422
2018-07-18,143.58999633789062
2018-07-19,145.4600067138672
2018-07-20,146.86000061035156
2018-07-23,136.25999450683594
2018-07-24,138.1999969482422
2018-07-25,138.05999755859375
2018-07-26,141.25
2018-07-27,140.2100067138672
2018-07-30,139.72999572753906
2018-07-31,143.3300018310547
2018-08-01,139.1699981689453
2018-08-02,139.02999877929688
2018-08-03,139.5500030517578
2018-08-06,140.57000732421875
2018-08-07,140.33999633789062
2018-08-08,140.39999389648438
2018-08-09,138.50999450683594
2018-08-10,136.47000122070312
2018-08-13,135.88999938964844
2018-08-14,137.3000030517578
2018-08-15,138.58999633789062
2018-08-16,138.9499969482422
2018-08-17,139.42999267578125
2018-08-20,138.2899932861328
2018-08-21,138.05999755859375
2018-08-22,136.16000366210938
2018-08-23,135.13999938964844
2018-08-24,135.5500030517578
2018-08-27,138.1300048828125
2018-08-28,138.3300018310547
2018-08-29,138.6999969482422
2018-08-30,138.55999755859375
2018-08-31,138.8800048828125
2018-09-04,138.94000244140625
2018-09-05,141.36000061035156
2018-09-06,141.07000732421875
2018-09-07,140.6300048828125
2018-09-10,142.4499969482422
2018-09-11,141.52999877929688
2018-09-12,141.6699981689453
2018-09-13,142.8000030517578
2018-09-14,144.88999938964844
2018-09-17,146.1999969482422
2018-09-18,146.38999938964844
